#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] cr0 cr1 cr2 cr3 cr4 cr5 cr6 cr7 cr8 cr9
1.6847e+03 2.0123e-38 1.2271e-29 4.2861e-22 1.2445e-15 5.1567e-10 1.3727e-05 3.8858e-02 6.3510e-01 3.2573e-01 2.9710e-04
1.7904e+03 6.8537e-40 4.8146e-31 2.0753e-23 7.7037e-17 4.1820e-11 1.7753e-06 8.8969e-03 3.8430e-01 6.0489e-01 1.9095e-03
1.9028e+03 1.5434e-41 1.2829e-32 7.0004e-25 3.4268e-18 2.4973e-12 1.7084e-07 1.5330e-03 1.7241e-01 8.1736e-01 8.6977e-03
2.0223e+03 3.0128e-43 2.9502e-34 2.0327e-26 1.3170e-19 1.2896e-13 1.4072e-08 2.2510e-04 6.4559e-02 9.0359e-01 3.1625e-02
2.1493e+03 5.6052e-45 6.4708e-36 5.6200e-28 4.8339e-21 6.3789e-15 1.0960e-09 3.1018e-05 2.2001e-02 8.8050e-01 9.7472e-02
2.2843e+03 0.0000e+00 1.8277e-37 1.9471e-29 2.1645e-22 3.7524e-16 9.6522e-11 4.5905e-06 7.3350e-03 7.5684e-01 2.3582e-01
2.4277e+03 0.0000e+00 8.8374e-39 1.1170e-30 1.5403e-23 3.3656e-17 1.1994e-11 8.7228e-07 2.6606e-03 5.8401e-01 4.1333e-01
2.5802e+03 0.0000e+00 1.0499e-39 1.5067e-31 2.4294e-24 6.2790e-18 2.7973e-12 2.7149e-07 1.2639e-03 4.5342e-01 5.4531e-01
2.7422e+03 0.0000e+00 4.6847e-40 7.2124e-32 1.2561e-24 3.5164e-18 1.7175e-12 1.8554e-07 9.9064e-04 4.1401e-01 5.8500e-01
2.9144e+03 0.0000e+00 1.0910e-39 1.6791e-31 2.8634e-24 7.7833e-18 3.5546e-12 3.4282e-07 1.4896e-03 4.8297e-01 5.1554e-01
3.0973e+03 0.0000e+00 1.6684e-38 2.3730e-30 3.5479e-23 8.2923e-17 2.9233e-11 1.9362e-06 4.4747e-03 6.7997e-01 3.1555e-01
3.2918e+03 1.4013e-45 1.8744e-36 2.3113e-28 2.7406e-21 4.9435e-15 1.0669e-09 3.5511e-05 2.4656e-02 8.9103e-01 8.4280e-02
3.4986e+03 1.1280e-42 1.6015e-33 1.4319e-25 1.1195e-18 1.2896e-12 1.2492e-07 1.4878e-03 1.7714e-01 8.1354e-01 7.8349e-03
3.7182e+03 2.5114e-39 2.4252e-30 1.2897e-22 5.6040e-16 3.4118e-10 1.1879e-05 4.1443e-02 6.5781e-01 3.0051e-01 2.2734e-04
3.9517e+03 2.2787e-36 1.5992e-27 5.2612e-20 1.3481e-13 4.2876e-08 4.7515e-04 4.1166e-01 5.7199e-01 1.5880e-02 5.3459e-07
4.1999e+03 1.0806e-33 7.0989e-25 1.6777e-17 3.0397e-11 4.4071e-06 9.4150e-03 9.6946e-01 2.1113e-02 4.6247e-06 6.6804e-13
4.4636e+03 2.4570e-31 1.3381e-22 2.1922e-15 2.7148e-09 1.5640e-04 6.9012e-02 9.3038e-01 4.4634e-04 1.1732e-09 1.1801e-18
4.7438e+03 3.6422e-30 1.7357e-21 2.3337e-14 2.3093e-08 8.1206e-04 1.6592e-01 8.3320e-01 6.6112e-05 2.1715e-11 2.1242e-21
5.0416e+03 6.7120e-30 3.1492e-21 4.1027e-14 3.8916e-08 1.2152e-03 2.0441e-01 7.9433e-01 3.8845e-05 7.2663e-12 3.7724e-22
5.3582e+03 4.8988e-30 2.4263e-21 3.3367e-14 3.3412e-08 1.1016e-03 1.9569e-01 8.0316e-01 4.1505e-05 8.2058e-12 4.5033e-22
5.6947e+03 4.2496e-30 2.2088e-21 3.1746e-14 3.3120e-08 1.1149e-03 1.9819e-01 8.0066e-01 3.8342e-05 6.8787e-12 3.3620e-22
6.0522e+03 6.2209e-30 3.2538e-21 4.6489e-14 4.7733e-08 1.4859e-03 2.2991e-01 7.6857e-01 2.5329e-05 2.9328e-12 8.7367e-23
6.4323e+03 1.7207e-29 8.7465e-21 1.1858e-13 1.1275e-07 2.8524e-03 3.1628e-01 6.8086e-01 9.8197e-06 4.3485e-13 4.3926e-24
6.8362e+03 8.0078e-29 3.8347e-20 4.7453e-13 3.9383e-07 7.1591e-03 4.7410e-01 5.1874e-01 2.1371e-06 2.2090e-14 4.3501e-26
7.2654e+03 4.8198e-28 2.1001e-19 2.2917e-12 1.5711e-06 1.8808e-02 6.6273e-01 3.1846e-01 2.9320e-07 5.3380e-16 1.4978e-28
7.7216e+03 3.8289e-27 1.4674e-18 1.3654e-11 7.2292e-06 5.0759e-02 8.1040e-01 1.3884e-01 1.9848e-08 4.1792e-18 1.0434e-31
8.2065e+03 6.6322e-26 2.0755e-17 1.5245e-10 5.3181e-05 1.6550e-01 8.0512e-01 2.9325e-02 2.6135e-10 2.2151e-21 1.5081e-36
8.7177e+03 6.9217e-24 1.4637e-15 6.9677e-09 1.0276e-03 6.6301e-01 3.3533e-01 6.3680e-04 2.9609e-14 5.7258e-28 0.0000e+00
9.2147e+03 4.9155e-21 4.9759e-13 1.0476e-06 2.7421e-02 9.6453e-01 8.0481e-03 7.2631e-08 2.7829e-22 1.0228e-40 0.0000e+00
9.6291e+03 6.3403e-18 2.8610e-10 2.1365e-04 5.5331e-01 4.4646e-01 1.8323e-05 1.5739e-13 2.9444e-33 0.0000e+00 0.0000e+00
9.9539e+03 8.3215e-16 1.9885e-08 4.9214e-03 9.8323e-01 1.1844e-02 1.2332e-09 4.0116e-21 0.0000e+00 0.0000e+00 0.0000e+00
1.0246e+04 1.1954e-13 1.5136e-06 9.4513e-02 9.0541e-01 7.8547e-05 7.3803e-15 2.3444e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.0542e+04 1.1702e-11 7.6859e-05 8.2910e-01 1.7083e-01 2.8728e-08 3.6514e-22 9.1925e-43 0.0000e+00 0.0000e+00 0.0000e+00
1.0840e+04 5.2930e-10 1.1354e-03 9.9742e-01 1.4404e-03 9.8100e-14 2.1174e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1119e+04 2.8839e-08 1.7808e-02 9.8219e-01 6.4729e-06 9.3891e-20 1.4153e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1356e+04 1.0541e-06 1.9525e-01 8.0475e-01 3.7301e-08 2.3578e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1540e+04 1.2661e-05 7.4365e-01 2.5634e-01 1.0586e-10 4.1904e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1677e+04 3.7302e-05 9.6186e-01 3.8104e-02 1.9639e-13 6.8366e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1784e+04 7.1333e-05 9.9379e-01 6.1422e-03 6.5136e-16 4.0736e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1876e+04 1.2909e-04 9.9865e-01 1.2234e-03 4.9039e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1964e+04 2.1240e-04 9.9948e-01 3.0787e-04 7.6135e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2056e+04 2.7534e-04 9.9961e-01 1.0995e-04 2.8831e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2170e+04 3.5337e-04 9.9960e-01 4.2788e-05 1.4735e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2360e+04 5.2928e-04 9.9946e-01 1.1146e-05 2.3204e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2670e+04 1.1248e-03 9.9887e-01 1.0681e-06 1.8511e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 2.6705e-03 9.9733e-01 7.7274e-08 6.6982e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e+04 6.5309e-03 9.9347e-01 4.9567e-09 1.7179e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4013e+04 1.5670e-02 9.8433e-01 3.1064e-10 4.1084e-38 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4509e+04 3.6388e-02 9.6361e-01 2.0058e-11 1.1038e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5002e+04 7.8293e-02 9.2171e-01 1.3815e-12 4.2039e-45 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5476e+04 1.4231e-01 8.5769e-01 1.1807e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5924e+04 2.1239e-01 7.8761e-01 1.3839e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 2.8030e-01 7.1970e-01 2.1884e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 3.5882e-01 6.4118e-01 3.9033e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 4.4268e-01 5.5732e-01 7.9921e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7580e+04 5.1198e-01 4.8802e-01 2.1393e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7990e+04 5.6311e-01 4.3689e-01 7.0902e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8458e+04 6.3328e-01 3.6672e-01 1.7821e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9085e+04 7.3125e-01 2.6875e-01 2.2498e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+04 7.9997e-01 2.0003e-01 1.7708e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 5.6117e-01 4.3883e-01 9.1887e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2528e+04 2.6262e-01 7.3738e-01 5.6020e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3943e+04 1.0405e-01 8.9595e-01 2.2695e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5446e+04 5.5294e-02 9.4471e-01 5.1071e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7044e+04 3.2072e-02 9.6793e-01 1.0061e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8744e+04 1.7138e-02 9.8286e-01 2.1378e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0520e+04 9.5123e-03 9.9049e-01 4.1968e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2244e+04 6.4563e-03 9.9354e-01 6.3181e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.3773e+04 4.7717e-03 9.9523e-01 8.4175e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.5108e+04 3.2899e-03 9.9671e-01 1.1853e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6326e+04 2.1718e-03 9.9783e-01 1.7210e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.7486e+04 1.4400e-03 9.9856e-01 2.4642e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8628e+04 9.9157e-04 9.9901e-01 3.3777e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9769e+04 6.9998e-04 9.9930e-01 4.4984e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.0916e+04 4.9874e-04 9.9950e-01 5.9129e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2074e+04 3.5641e-04 9.9964e-01 7.7468e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3252e+04 2.5504e-04 9.9974e-01 1.0115e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4454e+04 1.8268e-04 9.9982e-01 1.3168e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.5683e+04 1.3020e-04 9.9987e-01 1.7255e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6942e+04 9.2668e-05 9.9991e-01 2.2635e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8231e+04 6.5825e-05 9.9993e-01 2.9744e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9550e+04 4.6654e-05 9.9995e-01 3.9164e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.0900e+04 3.3110e-05 9.9997e-01 5.1488e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2277e+04 2.3460e-05 9.9998e-01 6.7907e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3682e+04 1.6704e-05 9.9998e-01 8.8943e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.5110e+04 1.1931e-05 9.9999e-01 1.1611e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6562e+04 8.5532e-06 9.9999e-01 1.5125e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8030e+04 6.1758e-06 9.9999e-01 1.9559e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.9510e+04 4.4892e-06 1.0000e+00 2.5117e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0994e+04 3.3032e-06 1.0000e+00 3.1917e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2466e+04 2.4561e-06 1.0000e+00 4.0200e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.3912e+04 1.8574e-06 1.0000e+00 4.9864e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5312e+04 1.4317e-06 1.0000e+00 6.0898e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6639e+04 1.1285e-06 1.0000e+00 7.2979e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7870e+04 9.1190e-07 1.0000e+00 8.5778e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8864e+04 7.5697e-07 1.0000e+00 9.8677e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9460e+04 6.9857e-07 1.0000e+00 1.0458e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9745e+04 6.7355e-07 1.0000e+00 1.0727e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9888e+04 6.5557e-07 1.0000e+00 1.0960e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9960e+04 6.5229e-07 1.0000e+00 1.0975e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9991e+04 6.4730e-07 1.0000e+00 1.1039e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 3.1140e-07 1.0000e+00 2.2946e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 1.3409
#NVEL: 115
#vel_mid[km/s] cr0 cr1 cr2 cr3 cr4 cr5 cr6 cr7 cr8 cr9
4.2577e+02 2.8026e-44 7.4846e-34 7.6521e-25 5.9957e-17 4.1823e-10 5.0480e-05 3.2426e-01 6.6019e-01 1.5500e-02 2.7123e-07
8.5779e+02 1.5166e-32 5.2685e-24 6.9741e-17 7.0749e-11 6.5198e-06 1.0739e-02 9.5979e-01 2.9457e-02 1.0712e-05 2.9740e-12
8.7843e+02 1.5315e-32 5.3172e-24 7.0324e-17 7.1278e-11 6.5585e-06 1.0774e-02 9.5992e-01 2.9291e-02 1.0581e-05 2.9159e-12
9.1772e+02 1.5056e-32 5.2326e-24 6.9312e-17 7.0362e-11 6.4915e-06 1.0712e-02 9.5969e-01 2.9579e-02 1.0809e-05 3.0173e-12
9.7304e+02 1.4621e-32 5.0931e-24 6.7673e-17 6.8910e-11 6.3871e-06 1.0616e-02 9.5935e-01 3.0014e-02 1.1156e-05 3.1737e-12
1.0350e+03 1.3710e-32 4.7959e-24 6.4118e-17 6.5694e-11 6.1507e-06 1.0393e-02 9.5850e-01 3.1089e-02 1.2044e-05 3.5882e-12
1.1000e+03 1.1211e-32 3.9769e-24 5.4232e-17 5.6676e-11 5.4763e-06 9.7361e-03 9.5565e-01 3.4591e-02 1.5196e-05 5.2079e-12
1.1690e+03 6.4640e-33 2.3818e-24 3.4286e-17 3.7827e-11 3.9813e-06 8.1304e-03 9.4568e-01 4.6160e-02 2.8565e-05 1.4338e-11
1.2425e+03 2.0516e-33 8.1078e-25 1.2983e-17 1.5946e-11 1.9950e-06 5.4557e-03 9.0977e-01 8.4662e-02 1.0998e-04 1.2626e-10
1.3205e+03 3.2956e-34 1.4208e-25 2.6464e-18 3.7958e-12 6.1228e-07 2.6551e-03 7.8644e-01 2.0999e-01 9.2057e-04 4.1188e-09
1.4033e+03 3.0223e-35 1.4388e-26 3.2052e-19 5.5590e-13 1.1945e-07 8.8924e-04 5.1605e-01 4.7438e-01 8.6762e-03 1.9171e-07
1.4915e+03 2.2829e-36 1.2017e-27 3.1938e-20 6.7280e-14 1.8800e-08 2.3067e-04 2.4853e-01 7.0397e-01 4.7263e-02 4.4602e-06
1.5852e+03 1.6356e-37 9.5695e-29 3.0248e-21 7.7522e-15 2.7555e-09 5.2877e-05 9.8778e-02 7.4579e-01 1.5533e-01 5.1708e-05
1.6847e+03 8.4506e-39 5.5694e-30 2.1221e-22 6.7511e-16 3.0764e-10 9.2523e-06 3.0006e-02 5.9358e-01 3.7597e-01 4.3055e-04
1.7904e+03 2.6910e-40 2.0470e-31 9.6425e-24 3.9318e-17 2.3509e-11 1.1275e-06 6.4737e-03 3.3740e-01 6.5355e-01 2.5787e-03
1.9028e+03 5.8967e-42 5.3109e-33 3.1672e-25 1.7042e-18 1.3680e-12 1.0544e-07 1.0811e-03 1.4560e-01 8.4223e-01 1.1092e-02
2.0223e+03 1.1351e-43 1.2074e-34 9.0892e-27 6.4746e-20 6.9831e-14 8.5680e-09 1.5633e-04 5.3420e-02 9.0737e-01 3.9050e-02
2.1493e+03 2.8026e-45 2.6669e-36 2.5255e-28 2.3843e-21 3.4604e-15 6.6582e-10 2.1415e-05 1.7963e-02 8.6532e-01 1.1669e-01
