#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] mg0 mg1 mg2 mg3 mg4 mg5 mg6
3.7182e+03 1.8494e-25 8.5342e-18 2.0487e-11 7.9818e-06 2.7836e-02 9.5852e-01 1.3637e-02
3.9517e+03 4.4577e-23 1.5317e-15 2.9924e-09 3.3992e-04 2.1219e-01 7.8677e-01 7.0485e-04
4.1999e+03 1.6065e-20 5.4008e-13 1.3205e-06 2.2524e-02 8.9623e-01 8.1239e-02 6.1912e-07
4.4636e+03 1.1780e-18 3.4055e-11 8.9903e-05 2.4604e-01 7.5161e-01 2.2687e-03 2.2111e-10
4.7438e+03 7.0282e-18 1.8069e-10 4.6904e-04 5.2715e-01 4.7210e-01 2.8557e-04 3.5730e-12
5.0416e+03 1.0102e-17 2.5685e-10 6.7784e-04 6.0620e-01 3.9296e-01 1.5465e-04 1.1100e-12
5.3582e+03 8.3988e-18 2.2542e-10 6.2793e-04 5.9308e-01 4.0612e-01 1.6887e-04 1.2811e-12
5.6947e+03 7.7197e-18 2.1769e-10 6.4177e-04 6.0113e-01 3.9808e-01 1.5561e-04 1.0733e-12
6.0522e+03 9.5664e-18 2.7244e-10 8.2932e-04 6.5764e-01 3.4143e-01 9.5980e-05 4.2974e-13
6.4323e+03 1.6487e-17 4.5975e-10 1.4344e-03 7.6888e-01 2.2966e-01 3.0989e-05 5.3695e-14
6.8362e+03 3.5709e-17 9.4856e-10 3.0133e-03 8.8353e-01 1.1345e-01 5.0224e-06 2.0659e-15
7.2654e+03 8.7345e-17 2.1384e-09 6.7507e-03 9.4922e-01 4.4030e-02 5.1287e-07 3.7863e-17
7.7216e+03 2.5711e-16 5.6243e-09 1.7326e-02 9.7004e-01 1.2632e-02 2.7966e-08 2.4394e-19
8.2065e+03 1.2488e-15 2.2826e-08 6.6240e-02 9.3194e-01 1.8178e-03 3.3896e-10 1.2240e-22
8.7177e+03 1.5568e-14 2.0102e-07 4.9659e-01 5.0338e-01 2.6715e-05 4.6044e-14 3.9538e-29
9.2147e+03 9.4540e-14 6.3981e-07 9.9139e-01 8.6091e-03 7.0164e-10 2.7879e-22 4.7308e-42
9.6291e+03 3.7981e-13 1.3535e-06 9.9998e-01 1.8105e-05 3.2964e-16 2.5199e-33 0.0000e+00
9.9539e+03 1.3555e-12 3.3722e-06 1.0000e+00 1.7095e-08 2.2478e-23 1.4013e-45 0.0000e+00
1.0246e+04 6.1348e-12 1.2050e-05 9.9999e-01 4.8840e-12 9.1014e-32 0.0000e+00 0.0000e+00
1.0542e+04 3.8058e-11 6.6088e-05 9.9993e-01 1.5329e-16 1.9268e-42 0.0000e+00 0.0000e+00
1.0840e+04 7.9451e-10 7.8330e-04 9.9922e-01 4.6328e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.1119e+04 2.8287e-08 1.1826e-02 9.8817e-01 5.0526e-28 0.0000e+00 0.0000e+00 0.0000e+00
1.1356e+04 9.0817e-07 1.3137e-01 8.6863e-01 1.6381e-33 0.0000e+00 0.0000e+00 0.0000e+00
1.1540e+04 1.3584e-05 6.2631e-01 3.7367e-01 4.6609e-39 0.0000e+00 0.0000e+00 0.0000e+00
1.1677e+04 4.8945e-05 9.2969e-01 7.0261e-02 8.4078e-45 0.0000e+00 0.0000e+00 0.0000e+00
1.1784e+04 1.0510e-04 9.8694e-01 1.2956e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1876e+04 2.0813e-04 9.9693e-01 2.8665e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1964e+04 3.7056e-04 9.9884e-01 7.9211e-04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2056e+04 5.1551e-04 9.9918e-01 3.0809e-04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2170e+04 7.0603e-04 9.9916e-01 1.2986e-04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2360e+04 1.1567e-03 9.9881e-01 3.7842e-05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2670e+04 2.8682e-03 9.9713e-01 4.4202e-06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 8.0802e-03 9.9192e-01 4.0130e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e+04 2.3498e-02 9.7650e-01 3.2698e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4013e+04 6.5735e-02 9.3426e-01 2.5725e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4509e+04 1.6735e-01 8.3265e-01 1.9705e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5002e+04 3.5147e-01 6.4854e-01 1.4384e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5476e+04 5.5646e-01 4.4354e-01 1.1619e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5924e+04 7.0406e-01 2.9594e-01 1.2479e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 7.9728e-01 2.0272e-01 1.8171e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 8.6442e-01 1.3558e-01 2.9292e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 9.0955e-01 9.0449e-02 5.4220e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7580e+04 9.3543e-01 6.4566e-02 1.3553e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7990e+04 9.5047e-01 4.9527e-02 4.3315e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8458e+04 9.6557e-01 3.4426e-02 1.0341e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9085e+04 9.8039e-01 1.9606e-02 1.2345e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+04 9.8871e-01 1.1289e-02 9.9531e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 9.6639e-01 3.3614e-02 7.3117e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2528e+04 8.8888e-01 1.1112e-01 8.7561e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3943e+04 7.2129e-01 2.7871e-01 7.2305e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5446e+04 5.6435e-01 4.3565e-01 2.3857e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7044e+04 4.2114e-01 5.7886e-01 6.0172e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8744e+04 2.7506e-01 7.2494e-01 1.5542e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0520e+04 1.7191e-01 8.2809e-01 3.4218e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2244e+04 1.2301e-01 8.7699e-01 5.4261e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.3773e+04 9.3935e-02 9.0607e-01 7.4774e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.5108e+04 6.6807e-02 9.3319e-01 1.0882e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6326e+04 4.5259e-02 9.5474e-01 1.6255e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.7486e+04 3.0601e-02 9.6940e-01 2.3807e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8628e+04 2.1380e-02 9.7862e-01 3.3221e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9769e+04 1.5271e-02 9.8473e-01 4.4927e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.0916e+04 1.0994e-02 9.8901e-01 5.9891e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2074e+04 7.9287e-03 9.9207e-01 7.9489e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3252e+04 5.7221e-03 9.9428e-01 1.0509e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4454e+04 4.1321e-03 9.9587e-01 1.3847e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.5683e+04 2.9672e-03 9.9703e-01 1.8353e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6942e+04 2.1272e-03 9.9787e-01 2.4346e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8231e+04 1.5217e-03 9.9848e-01 3.2347e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9550e+04 1.0860e-03 9.9891e-01 4.3056e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.0900e+04 7.7599e-04 9.9922e-01 5.7218e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2277e+04 5.5343e-04 9.9945e-01 7.6258e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3682e+04 3.9671e-04 9.9960e-01 1.0095e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.5110e+04 2.8524e-04 9.9971e-01 1.3320e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6562e+04 2.0582e-04 9.9979e-01 1.7534e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8030e+04 1.4958e-04 9.9985e-01 2.2911e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.9510e+04 1.0943e-04 9.9989e-01 2.9731e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0994e+04 8.1032e-05 9.9992e-01 3.8166e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2466e+04 6.0623e-05 9.9994e-01 4.8551e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.3912e+04 4.6122e-05 9.9995e-01 6.0809e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5312e+04 3.5752e-05 9.9996e-01 7.4947e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6639e+04 2.8333e-05 9.9997e-01 9.0592e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7870e+04 2.3005e-05 9.9998e-01 1.0731e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8864e+04 1.9179e-05 9.9998e-01 1.2431e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9460e+04 1.7736e-05 9.9998e-01 1.3220e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9745e+04 1.7118e-05 9.9998e-01 1.3582e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9888e+04 1.6670e-05 9.9998e-01 1.3889e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9960e+04 1.6592e-05 9.9998e-01 1.3915e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9991e+04 1.6468e-05 9.9998e-01 1.4000e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 7.9225e-06 9.9999e-01 2.9103e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 1.3409
#NVEL: 115
#vel_mid[km/s] mg0 mg1 mg2 mg3 mg4 mg5 mg6
4.2577e+02 3.0705e-28 4.2207e-19 4.0068e-11 4.0766e-05 1.1443e-01 8.8482e-01 7.1198e-04
8.5779e+02 7.3848e-20 1.2993e-12 1.5628e-06 2.1928e-02 8.7760e-01 1.0047e-01 1.2484e-06
8.7843e+02 7.4444e-20 1.3091e-12 1.5743e-06 2.2026e-02 8.7798e-01 9.9994e-02 1.2343e-06
9.1772e+02 7.3410e-20 1.2921e-12 1.5544e-06 2.1857e-02 8.7732e-01 1.0082e-01 1.2588e-06
9.7304e+02 7.1719e-20 1.2651e-12 1.5240e-06 2.1602e-02 8.7631e-01 1.0208e-01 1.2961e-06
1.0350e+03 6.8063e-20 1.2053e-12 1.4547e-06 2.1007e-02 8.7383e-01 1.0516e-01 1.3908e-06
1.1000e+03 5.7822e-20 1.0373e-12 1.2606e-06 1.9273e-02 8.6569e-01 1.1503e-01 1.7221e-06
1.1690e+03 3.6859e-20 6.8493e-13 8.4826e-07 1.5148e-02 8.3882e-01 1.4603e-01 3.0647e-06
1.2425e+03 1.3941e-20 2.7614e-13 3.5178e-07 8.7235e-03 7.5579e-01 2.3548e-01 1.0264e-05
1.3205e+03 2.6762e-21 5.7224e-14 7.4243e-08 3.0951e-03 5.5222e-01 4.4462e-01 6.4242e-05
1.4033e+03 2.9393e-22 6.8529e-15 9.0962e-09 6.9324e-04 2.8874e-01 7.1014e-01 4.1931e-04
1.4915e+03 3.0305e-23 7.7226e-16 1.0660e-09 1.4058e-04 1.2740e-01 8.7061e-01 1.8535e-03
1.5852e+03 3.5450e-24 9.9393e-17 1.4601e-10 3.1127e-05 5.5994e-02 9.3787e-01 6.1061e-03
1.6847e+03 3.8645e-25 1.2085e-17 1.9407e-11 6.6224e-06 2.3548e-02 9.5772e-01 1.8725e-02
1.7904e+03 3.6588e-26 1.3076e-18 2.3915e-12 1.3103e-06 9.3479e-03 9.3533e-01 5.5325e-02
1.9028e+03 3.0523e-27 1.2792e-19 2.7897e-13 2.4317e-07 3.4769e-03 8.4798e-01 1.4854e-01
2.0223e+03 2.2624e-28 1.1078e-20 2.9396e-14 3.9577e-08 1.1230e-03 6.6093e-01 3.3795e-01
2.1493e+03 1.4108e-29 8.0514e-22 2.6617e-15 5.3372e-09 2.9468e-04 4.0879e-01 5.9092e-01
2.2843e+03 9.3420e-31 6.0811e-23 2.5031e-16 6.9947e-10 7.0350e-05 2.1241e-01 7.8752e-01
2.4277e+03 9.2500e-32 6.7476e-24 3.4000e-17 1.2263e-10 1.9981e-05 1.1272e-01 8.8726e-01
2.5802e+03 1.8393e-32 1.4717e-24 8.6767e-18 3.7253e-11 8.3979e-06 7.1817e-02 9.2817e-01
2.7422e+03 9.8693e-33 8.4101e-25 5.3652e-18 2.4980e-11 6.3267e-06 6.2088e-02 9.3791e-01
2.9144e+03 1.7615e-32 1.5398e-24 9.6279e-18 4.3570e-11 9.6727e-06 7.8191e-02 9.2180e-01
3.0973e+03 1.3132e-31 1.1344e-23 6.2948e-17 2.4016e-10 3.4425e-05 1.5226e-01 8.4770e-01
3.2918e+03 4.6661e-30 3.9545e-22 1.8662e-15 4.8861e-09 3.0404e-04 4.2861e-01 5.7108e-01
3.4986e+03 5.2326e-28 3.7746e-20 1.3992e-13 1.7539e-07 3.1339e-03 8.4957e-01 1.4729e-01
3.7182e+03 9.4036e-26 4.7104e-18 1.2232e-11 5.4789e-06 2.2707e-02 9.5995e-01 1.7341e-02
3.9517e+03 2.2965e-23 8.5445e-16 1.7929e-09 2.3660e-04 1.7755e-01 8.2126e-01 9.5505e-04
4.1999e+03 9.5747e-21 3.4954e-13 9.1868e-07 1.8327e-02 8.8143e-01 1.0024e-01 9.9945e-07
4.4636e+03 7.4179e-19 2.3269e-11 6.5966e-05 2.1177e-01 7.8518e-01 2.9895e-03 3.8435e-10
4.7438e+03 4.7013e-18 1.3107e-10 3.6545e-04 4.8006e-01 5.1918e-01 3.9347e-04 6.4410e-12
5.0416e+03 7.0113e-18 1.9288e-10 5.4618e-04 5.6434e-01 4.3491e-01 2.1013e-04 1.9235e-12
5.3582e+03 5.9077e-18 1.7128e-10 5.1154e-04 5.5360e-01 4.4566e-01 2.2425e-04 2.1301e-12
5.6947e+03 5.4520e-18 1.6602e-10 5.2471e-04 5.6233e-01 4.3693e-01 2.0617e-04 1.7748e-12
6.0522e+03 6.8346e-18 2.1012e-10 6.8553e-04 6.2128e-01 3.7791e-01 1.2799e-04 7.1364e-13
6.4323e+03 1.2031e-17 3.6192e-10 1.2099e-03 7.4016e-01 2.5859e-01 4.1950e-05 9.0300e-14
6.8362e+03 2.6486e-17 7.5898e-10 2.5829e-03 8.6673e-01 1.3068e-01 6.9909e-06 3.5971e-15
7.2654e+03 6.5446e-17 1.7280e-09 5.8422e-03 9.4262e-01 5.1538e-02 7.2920e-07 6.7812e-17
7.7216e+03 1.9442e-16 4.5828e-09 1.5113e-02 9.7001e-01 1.4872e-02 3.9936e-08 4.3820e-19
8.2065e+03 9.4216e-16 1.8584e-08 5.7819e-02 9.4000e-01 2.1820e-03 5.0027e-10 2.3132e-22
8.7177e+03 1.2450e-14 1.7334e-07 4.5934e-01 5.4063e-01 3.4377e-05 7.3498e-14 8.1826e-29
9.2147e+03 8.0773e-14 5.9144e-07 9.8966e-01 1.0337e-02 1.0585e-09 5.5446e-22 1.3213e-41
9.6291e+03 3.2606e-13 1.2497e-06 9.9998e-01 2.2392e-05 5.3295e-16 5.6590e-33 0.0000e+00
9.9539e+03 1.1463e-12 3.0682e-06 1.0000e+00 2.2321e-08 4.1278e-23 1.4013e-45 0.0000e+00
1.0246e+04 5.2063e-12 1.0909e-05 9.9999e-01 6.6193e-12 1.8293e-31 0.0000e+00 0.0000e+00
1.0542e+04 3.1456e-11 5.8731e-05 9.9994e-01 2.1967e-16 4.4071e-42 0.0000e+00 0.0000e+00
1.0840e+04 6.2271e-10 6.6882e-04 9.9933e-01 8.0980e-22 0.0000e+00 0.0000e+00 0.0000e+00
1.1119e+04 2.0793e-08 9.7069e-03 9.9029e-01 1.0851e-27 0.0000e+00 0.0000e+00 0.0000e+00
1.1356e+04 6.3514e-07 1.0524e-01 8.9475e-01 4.9644e-33 0.0000e+00 0.0000e+00 0.0000e+00
1.1540e+04 1.0127e-05 5.4927e-01 4.5072e-01 2.6236e-38 0.0000e+00 0.0000e+00 0.0000e+00
1.1677e+04 4.0336e-05 9.0180e-01 9.8158e-02 8.6881e-44 0.0000e+00 0.0000e+00 0.0000e+00
1.1784e+04 8.4140e-05 9.7966e-01 2.0257e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1876e+04 1.5430e-04 9.9479e-01 5.0532e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1964e+04 2.6815e-04 9.9830e-01 1.4289e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2056e+04 3.6992e-04 9.9907e-01 5.6133e-04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2170e+04 5.3352e-04 9.9925e-01 2.1335e-04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2360e+04 9.1197e-04 9.9903e-01 5.7196e-05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2670e+04 2.2077e-03 9.9779e-01 7.0010e-06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 6.6699e-03 9.9333e-01 5.5803e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e+04 1.8486e-02 9.8151e-01 5.1222e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4013e+04 6.0719e-02 9.3928e-01 2.9109e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4509e+04 1.4621e-01 8.5379e-01 2.6687e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5002e+04 2.9263e-01 7.0737e-01 2.6839e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5476e+04 4.8440e-01 5.1560e-01 2.5080e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5924e+04 6.2302e-01 3.7698e-01 3.6229e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 6.9885e-01 3.0115e-01 9.2235e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 7.7037e-01 2.2963e-01 2.2063e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 8.1539e-01 1.8461e-01 7.1966e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
