#NTIMES: 257
#NSTAGES: 6
#TIMES[d]: 2.2 2.42 2.662 2.9282 3.22102 3.543122 3.897434 4.287178 4.715896 5.187485 5.706233 6.276857 6.904542 7.594996 8.354497 9.189946 10.10894 11.10894 12.10894 13.108941 14.108941 15.108941 16.108941 17.108941 18.108941 19.108941 20.108941 21.108941 22.108941 23.108941 24.108941 25.108941 26.108941 27.108941 28.108941 29.108941 30.108941 31.108941 32.108941 33.108941 34.108941 35.108941 36.108941 37.108941 38.108941 39.108941 40.108941 41.108941 42.108941 43.108941 44.108941 45.108941 46.108941 47.108941 48.108941 49.108941 50.108941 51.108941 52.108941 53.108941 54.108941 55.108941 56.108941 57.108941 58.108941 59.108941 60.108941 61.108941 62.108941 63.108941 64.108941 65.108941 66.108941 67.108941 68.108941 69.108941 70.108941 71.108941 72.108941 73.108941 74.108941 75.108941 76.108941 77.108941 78.108941 79.108941 80.108941 81.108941 82.108941 83.108941 84.108941 85.108941 86.108941 87.108941 88.108941 89.108941 90.108941 91.108941 92.108941 93.108941 94.108941 95.108941 96.108941 97.108935 98.108935 99.108935 100.108935 101.108935 102.108935 103.108935 104.108935 105.108935 106.108935 107.108935 108.108935 109.108935 110.108935 111.108935 112.108935 113.108935 114.108935 115.108935 116.108935 117.108935 118.108935 119.108935 120.108935 121.108935 122.108935 123.108935 124.108935 125.108935 126.108935 127.108935 128.108935 129.108935 130.108935 131.108935 132.108935 133.108935 134.108935 135.108935 136.108935 137.108935 138.108935 139.108935 140.108935 141.108935 142.108935 143.108935 144.108935 145.108935 146.108935 147.108935 148.108935 149.108935 150.108935 151.108935 152.108935 153.108935 154.108935 155.108935 156.108935 157.108935 158.108935 159.108935 160.108935 161.108935 162.108935 163.108935 164.108935 165.108935 166.108935 167.108935 168.108935 169.108935 170.108935 171.108935 172.108935 173.108935 174.108935 175.108935 176.108935 177.108935 178.108935 179.108935 180.108935 181.108935 182.108935 183.108935 184.108935 185.108935 186.108935 187.108935 188.108935 189.108935 190.108935 191.108935 192.108935 193.108935 194.108935 195.108935 196.108935 197.108935 198.108935 199.108935 200.108935 201.108935 202.108935 203.108935 204.108935 205.108935 206.108935 207.108935 208.108935 209.108935 210.108935 211.108935 212.108935 213.108935 214.108935 215.108935 216.108935 217.108935 218.108935 219.108935 220.108935 221.108935 222.108935 223.108935 224.108935 225.108935 226.108935 227.108935 228.108935 229.108935 230.108935 231.108935 232.108935 233.108935 234.108935 235.108935 236.108935 237.108935 238.108935 239.108935 240.108935 241.108935 242.108935 243.108935 244.108935 245.108935 246.108935 247.108935 248.108935 249.108935 250.108935 
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] S0 S1 S2 S3 S4 S5
1.225e+04 7.769375e-01 2.230625e-01 2.164463e-14 2.023119e-39 1.726634e-77 1.979158e-140
1.275e+04 7.483751e-01 2.516249e-01 2.859376e-14 3.129943e-39 3.128305e-77 4.199362e-140
1.325e+04 7.175894e-01 2.824106e-01 3.756375e-14 4.812877e-39 5.630513e-77 8.846933e-140
1.375e+04 6.847296e-01 3.152704e-01 4.906034e-14 7.354033e-39 1.006533e-76 1.850257e-139
1.425e+04 6.499944e-01 3.500056e-01 6.369765e-14 1.116657e-38 1.787406e-76 3.842629e-139
1.475e+04 6.136627e-01 3.863373e-01 8.220279e-14 1.684823e-38 3.153039e-76 7.925123e-139
1.525e+04 5.760658e-01 4.239342e-01 1.054406e-13 2.526186e-38 5.526244e-76 1.623664e-138
1.575e+04 5.375638e-01 4.624362e-01 1.344487e-13 3.765384e-38 9.628736e-76 3.306974e-138
1.625e+04 4.985876e-01 5.014124e-01 1.704244e-13 5.579771e-38 1.668047e-75 6.697330e-138
1.675e+04 4.595540e-01 5.404460e-01 2.148084e-13 8.224283e-38 2.875095e-75 1.349919e-137
1.725e+04 4.209171e-01 5.790829e-01 2.692576e-13 1.205988e-37 4.932027e-75 2.709003e-137
1.775e+04 3.830938e-01 6.169062e-01 3.357502e-13 1.760197e-37 8.425846e-75 5.417106e-137
1.825e+04 3.464893e-01 6.535107e-01 4.165804e-13 2.557953e-37 1.434148e-74 1.079933e-136
1.875e+04 3.114530e-01 6.885470e-01 5.144674e-13 3.702796e-37 2.433376e-74 2.147782e-136
1.925e+04 2.782968e-01 7.217032e-01 6.325461e-13 5.340397e-37 4.116824e-74 4.262384e-136
1.975e+04 2.472459e-01 7.527541e-01 7.745695e-13 7.677421e-37 6.948287e-74 8.445817e-136
2.025e+04 2.184647e-01 7.815353e-01 9.449289e-13 1.100519e-36 1.170316e-73 1.671515e-135
2.075e+04 1.920525e-01 8.079475e-01 1.148760e-12 1.573343e-36 1.967546e-73 3.304667e-135
2.125e+04 1.680356e-01 8.319644e-01 1.392167e-12 2.244015e-36 3.302687e-73 6.528459e-135
2.175e+04 1.463821e-01 8.536179e-01 1.682373e-12 3.193954e-36 5.536593e-73 1.289015e-134
2.225e+04 1.270192e-01 8.729808e-01 2.027791e-12 4.537215e-36 9.269642e-73 2.543537e-134
2.275e+04 1.098262e-01 8.901738e-01 2.438522e-12 6.434671e-36 1.550363e-72 5.016975e-134
2.325e+04 9.466218e-02 9.053378e-01 2.926361e-12 9.111566e-36 2.590392e-72 9.890983e-134
2.375e+04 8.136571e-02 9.186343e-01 3.505315e-12 1.288425e-35 4.324129e-72 1.949125e-133
2.425e+04 6.976519e-02 9.302348e-01 4.192079e-12 1.819760e-35 7.212839e-72 3.839723e-133
2.475e+04 5.968983e-02 9.403102e-01 5.006394e-12 2.567596e-35 1.202363e-71 7.562167e-133
2.525e+04 5.097320e-02 9.490268e-01 5.971703e-12 3.619642e-35 2.003275e-71 1.489076e-132
2.575e+04 4.346267e-02 9.565373e-01 7.114929e-12 5.097849e-35 3.335115e-71 2.930462e-132
2.625e+04 3.700479e-02 9.629952e-01 8.469806e-12 7.175805e-35 5.551050e-71 5.767415e-132
2.675e+04 3.146710e-02 9.685329e-01 1.007523e-11 1.009587e-34 9.237183e-71 1.135108e-131
2.725e+04 2.672847e-02 9.732715e-01 1.197780e-11 1.419933e-34 1.536973e-70 2.234426e-131
2.775e+04 2.268094e-02 9.773191e-01 1.423295e-11 1.996646e-34 2.557494e-70 4.399768e-131
2.825e+04 1.922958e-02 9.807704e-01 1.690628e-11 2.807221e-34 4.256106e-70 8.666621e-131
2.875e+04 1.629027e-02 9.837097e-01 2.007653e-11 3.946920e-34 7.084924e-70 1.708102e-130
2.925e+04 1.378977e-02 9.862102e-01 2.383775e-11 5.550201e-34 1.179939e-69 3.369085e-130
2.975e+04 1.166523e-02 9.883348e-01 2.830075e-11 7.806197e-34 1.966023e-69 6.650266e-130
3.025e+04 9.862351e-03 9.901376e-01 3.359648e-11 1.098095e-33 3.277127e-69 1.313555e-129
3.075e+04 8.333070e-03 9.916669e-01 3.988501e-11 1.545259e-33 5.466388e-69 2.597174e-129
3.125e+04 7.037312e-03 9.929627e-01 4.735242e-11 2.175200e-33 9.123544e-69 5.139602e-129
3.175e+04 5.940345e-03 9.940597e-01 5.622071e-11 3.062866e-33 1.523586e-68 1.017906e-128
3.225e+04 5.012488e-03 9.949875e-01 6.675211e-11 4.313801e-33 2.545439e-68 2.017282e-128
3.275e+04 4.227859e-03 9.957721e-01 7.926519e-11 6.077890e-33 4.255304e-68 4.001380e-128
3.325e+04 3.564830e-03 9.964352e-01 9.413310e-11 8.566105e-33 7.117572e-68 7.942950e-128
3.375e+04 3.004924e-03 9.969951e-01 1.117984e-10 1.207609e-32 1.191034e-67 1.577696e-127
3.425e+04 2.532301e-03 9.974677e-01 1.327900e-10 1.702863e-32 1.993891e-67 3.135629e-127
3.475e+04 2.133494e-03 9.978665e-01 1.577381e-10 2.401863e-32 3.339393e-67 6.235743e-127
3.525e+04 1.797158e-03 9.982028e-01 1.873848e-10 3.388425e-32 5.594594e-67 1.240626e-126
3.575e+04 1.513644e-03 9.984864e-01 2.226095e-10 4.780716e-32 9.374532e-67 2.468924e-126
3.625e+04 1.274608e-03 9.987254e-01 2.644836e-10 6.746823e-32 1.571474e-66 4.916054e-126
3.675e+04 1.073208e-03 9.989268e-01 3.142436e-10 9.522411e-32 2.634722e-66 9.790937e-126
3.725e+04 9.035871e-04 9.990964e-01 3.733601e-10 1.343990e-31 4.417451e-66 1.950064e-125
3.775e+04 7.606637e-04 9.992393e-01 4.436387e-10 1.897305e-31 7.408874e-66 3.885696e-125
3.825e+04 6.403169e-04 9.993597e-01 5.271471e-10 2.678487e-31 1.242667e-65 7.743216e-125
3.875e+04 5.389585e-04 9.994610e-01 6.264112e-10 3.781821e-31 2.084730e-65 1.543477e-124
3.925e+04 4.536350e-04 9.995464e-01 7.443590e-10 5.339612e-31 3.497393e-65 3.076668e-124
3.975e+04 3.818060e-04 9.996182e-01 8.845220e-10 7.539298e-31 5.867601e-65 6.133265e-124
4.025e+04 3.213427e-04 9.996787e-01 1.051079e-09 1.064531e-30 9.844383e-65 1.222701e-123
#TIME: 2.420000
#NVEL: 81
#vel_mid[km/s] S0 S1 S2 S3 S4 S5
2.500e+02 1.220145e-40 2.354120e-31 1.363282e-22 1.122633e-13 7.837944e-07 9.999992e-01
7.500e+02 4.797906e-40 7.977843e-31 3.727183e-22 2.033910e-13 1.108127e-06 9.999989e-01
1.250e+03 9.302203e-40 1.481829e-30 6.344611e-22 2.753373e-13 1.354538e-06 9.999986e-01
1.750e+03 2.299360e-39 3.385227e-30 1.277415e-21 4.153495e-13 1.781058e-06 9.999982e-01
2.250e+03 1.306622e-38 1.573412e-29 4.564175e-21 9.044005e-13 2.946930e-06 9.999971e-01
2.750e+03 3.013320e-37 2.452643e-28 4.420650e-20 3.773788e-12 7.410657e-06 9.999926e-01
3.250e+03 9.944262e-35 3.994569e-26 3.186984e-18 6.361940e-11 4.533172e-05 9.999547e-01
3.750e+03 1.263028e-29 1.361210e-21 2.653314e-14 4.433489e-08 2.283412e-03 9.977165e-01
4.250e+03 1.755004e-18 2.242324e-11 1.435029e-05 6.188770e-02 9.335284e-01 4.569507e-03
4.750e+03 3.318309e-09 3.634785e-03 9.696549e-01 2.671032e-02 3.234117e-08 2.792899e-21
5.250e+03 2.067415e-06 2.778441e-01 7.221352e-01 1.858364e-05 1.713234e-15 7.112606e-35
5.750e+03 1.935975e-04 9.976735e-01 2.132895e-03 1.206876e-12 4.978223e-29 3.367567e-58
6.250e+03 2.930944e-02 9.706905e-01 3.206230e-08 1.172017e-24 8.298660e-51 5.258911e-95
6.750e+03 7.146800e-01 2.853200e-01 3.917385e-13 3.959600e-36 3.337278e-71 3.544285e-129
7.250e+03 9.153668e-01 8.463324e-02 3.401514e-15 1.641492e-40 9.191395e-79 1.130729e-141
7.750e+03 6.455029e-01 3.544971e-01 6.755189e-13 9.550998e-36 1.135635e-70 1.731423e-128
8.250e+03 6.249681e-01 3.750319e-01 7.157918e-13 9.390718e-36 9.534380e-71 1.046568e-128
8.750e+03 6.743567e-01 3.256433e-01 3.081853e-13 1.310727e-36 2.717558e-72 2.358860e-131
9.250e+03 4.850804e-01 5.149196e-01 2.433063e-12 1.061618e-34 4.941833e-69 4.806838e-126
9.750e+03 5.917155e-01 4.082845e-01 5.854424e-13 3.971626e-36 1.389011e-71 2.281178e-130
1.025e+04 6.257363e-01 3.742637e-01 3.153784e-13 8.940955e-37 9.019072e-73 1.995571e-132
1.075e+04 6.862737e-01 3.137263e-01 1.162891e-13 8.935292e-38 1.442686e-74 1.732671e-135
1.125e+04 5.775841e-01 4.224159e-01 3.768635e-13 9.969702e-37 8.180140e-73 1.110468e-132
1.175e+04 4.882240e-01 5.117760e-01 8.535022e-13 5.327553e-36 1.328713e-71 9.222385e-131
1.225e+04 4.836545e-01 5.163455e-01 7.330831e-13 3.328812e-36 5.090413e-72 1.525028e-131
1.275e+04 4.037150e-01 5.962850e-01 1.456026e-12 1.376276e-35 5.391694e-71 6.337275e-130
1.325e+04 3.098702e-01 6.901298e-01 3.514745e-12 9.210225e-35 1.363141e-69 1.142628e-127
1.375e+04 2.921490e-01 7.078510e-01 3.564555e-12 8.493356e-35 1.043419e-69 6.020892e-128
1.425e+04 2.758750e-01 7.241250e-01 3.570050e-12 7.620305e-35 7.614231e-70 2.930780e-128
1.475e+04 2.854977e-01 7.145023e-01 2.580010e-12 3.200455e-35 1.445098e-70 1.499593e-129
1.525e+04 2.819506e-01 7.180494e-01 2.201483e-12 1.978332e-35 5.444920e-71 2.416103e-130
1.575e+04 3.125504e-01 6.874496e-01 1.231597e-12 4.592047e-36 3.613407e-72 2.133872e-132
1.625e+04 3.122289e-01 6.877711e-01 1.008517e-12 2.578998e-36 1.148378e-72 2.585733e-133
1.675e+04 2.464030e-01 7.535970e-01 1.901028e-12 1.009074e-35 1.143993e-71 9.975355e-132
1.725e+04 1.918259e-01 8.081741e-01 3.430435e-12 3.651125e-35 1.004355e-70 3.143422e-130
1.775e+04 1.644675e-01 8.355325e-01 4.408743e-12 5.990843e-35 2.165944e-70 9.456710e-130
1.825e+04 1.362369e-01 8.637631e-01 6.112160e-12 1.186297e-34 6.560736e-70 5.044046e-129
1.875e+04 1.806894e-01 8.193106e-01 2.226639e-12 9.626097e-36 6.556782e-72 1.839158e-132
1.925e+04 1.484567e-01 8.515433e-01 3.202011e-12 2.071732e-35 2.300203e-71 1.253242e-131
1.975e+04 1.786804e-01 8.213196e-01 1.530113e-12 3.219185e-36 7.351709e-73 3.216599e-134
2.025e+04 1.147639e-01 8.852361e-01 4.298632e-12 3.466460e-35 4.615345e-71 2.785750e-131
2.075e+04 7.957299e-02 9.204270e-01 9.004327e-12 1.894671e-34 8.720737e-70 3.242441e-129
2.125e+04 8.689206e-02 9.131079e-01 5.881022e-12 6.144435e-35 1.033225e-70 7.474434e-131
2.175e+04 1.131930e-01 8.868070e-01 2.415689e-12 6.498067e-36 1.639693e-72 5.873939e-134
2.225e+04 1.090340e-01 8.909660e-01 2.173594e-12 4.582447e-36 7.838782e-73 1.413153e-134
2.275e+04 9.085789e-02 9.091421e-01 2.842932e-12 7.996025e-36 1.905928e-72 5.235176e-134
2.325e+04 7.820757e-02 9.217924e-01 3.385615e-12 1.115642e-35 3.107071e-72 9.915964e-134
2.375e+04 3.366477e-02 9.663352e-01 2.093058e-11 8.823697e-34 7.298780e-69 3.901358e-128
2.425e+04 4.492806e-02 9.550719e-01 8.659819e-12 9.272777e-35 1.131485e-70 2.922973e-131
2.475e+04 2.910237e-02 9.708976e-01 1.950359e-11 6.257722e-34 3.177413e-69 6.704291e-129
2.525e+04 3.786371e-02 9.621363e-01 8.611841e-12 7.698864e-35 6.536803e-71 8.082159e-132
2.575e+04 2.206123e-02 9.779388e-01 2.449412e-11 9.267751e-34 5.223057e-69 1.080069e-128
2.625e+04 1.528219e-02 9.847178e-01 4.594850e-11 4.025241e-33 6.652993e-68 6.556115e-127
2.675e+04 2.207889e-02 9.779211e-01 1.624275e-11 2.846313e-34 5.027982e-70 1.461774e-130
2.725e+04 4.933580e-02 9.506642e-01 2.025340e-12 1.563833e-36 3.807877e-74 1.402477e-137
2.775e+04 2.629154e-02 9.737085e-01 7.220843e-12 3.262562e-35 8.178560e-72 9.897020e-134
2.825e+04 1.070618e-02 9.892938e-01 4.515669e-11 2.768021e-33 2.223649e-68 5.039439e-128
2.875e+04 1.022866e-02 9.897713e-01 4.076605e-11 1.979234e-33 1.092875e-68 1.272355e-128
2.925e+04 4.232900e-02 9.576710e-01 1.281845e-12 3.599969e-37 1.759542e-75 3.835692e-140
2.975e+04 1.661271e-02 9.833873e-01 9.078825e-12 4.104089e-35 8.115347e-72 4.753700e-134
3.025e+04 8.159185e-03 9.918408e-01 3.655863e-11 1.180413e-33 3.138491e-69 9.064918e-130
3.075e+04 1.605377e-02 9.839462e-01 6.507639e-12 1.527125e-35 1.104321e-72 1.151945e-135
3.125e+04 9.328488e-03 9.906715e-01 1.799557e-11 1.735220e-34 7.990779e-71 1.305595e-132
3.175e+04 1.852041e-02 9.814796e-01 3.116323e-12 2.099156e-36 2.490589e-74 1.350896e-138
3.225e+04 4.270849e-03 9.957292e-01 6.778913e-11 3.911617e-33 1.793173e-68 8.295806e-129
3.275e+04 2.269312e-03 9.977307e-01 2.223570e-10 6.807026e-32 2.798932e-66 3.414892e-125
3.325e+04 9.020540e-03 9.909795e-01 8.534521e-12 1.972308e-35 1.036571e-72 4.209990e-136
3.375e+04 3.240366e-03 9.967596e-01 6.748274e-11 3.023634e-33 8.223964e-69 1.298945e-129
3.425e+04 5.428542e-03 9.945715e-01 1.755632e-11 9.958731e-35 1.562970e-71 2.835841e-134
3.475e+04 2.802991e-03 9.971970e-01 6.167417e-11 2.053721e-33 3.316865e-69 1.961853e-130
3.525e+04 1.024466e-02 9.897553e-01 2.815657e-12 9.135669e-37 2.658471e-75 8.837103e-141
3.575e+04 3.651907e-03 9.963481e-01 2.282306e-11 1.489556e-34 2.359865e-71 3.303349e-134
3.625e+04 1.829949e-03 9.981701e-01 8.524110e-11 3.576234e-33 6.586932e-69 3.620885e-130
3.675e+04 3.060803e-03 9.969392e-01 2.235793e-11 1.201216e-34 1.297396e-71 8.404846e-135
3.725e+04 3.701438e-02 9.629856e-01 6.460046e-14 5.899498e-41 4.789356e-83 3.840879e-154
3.775e+04 6.470986e-03 9.935290e-01 2.811054e-12 6.024374e-37 7.419567e-76 4.182226e-142
3.825e+04 2.676159e-02 9.732384e-01 9.109490e-14 1.158872e-40 1.308283e-82 1.453790e-153
3.875e+04 3.709655e-01 6.290345e-01 4.679171e-17 1.359171e-48 7.387644e-97 1.416116e-177
3.925e+04 2.651611e-01 7.348389e-01 1.376622e-16 1.467878e-47 4.411301e-95 1.085333e-174
3.975e+04 1.545567e-02 9.845443e-01 1.726727e-13 4.365301e-40 1.043987e-81 2.802738e-152
4.025e+04 1.688003e-01 8.311997e-01 3.810526e-16 1.314191e-46 1.729880e-93 3.477435e-172
#TIME: 2.662000
#NVEL: 81
#vel_mid[km/s] S0 S1 S2 S3 S4 S5
2.500e+02 1.038507e-40 2.230277e-31 1.381154e-22 1.081397e-13 7.898649e-07 9.999992e-01
7.500e+02 5.153077e-40 9.261181e-31 4.468271e-22 2.176433e-13 1.206128e-06 9.999988e-01
1.250e+03 1.011102e-39 1.741921e-30 7.716541e-22 2.979188e-13 1.500685e-06 9.999985e-01
1.750e+03 2.550166e-39 4.059641e-30 1.587245e-21 4.570786e-13 2.014902e-06 9.999980e-01
2.250e+03 1.467019e-38 1.914684e-29 5.787242e-21 1.015523e-12 3.413683e-06 9.999966e-01
2.750e+03 3.366091e-37 2.999983e-28 5.726393e-20 4.373660e-12 8.840976e-06 9.999912e-01
3.250e+03 1.255108e-34 5.480955e-26 4.659664e-18 8.435519e-11 5.782074e-05 9.999422e-01
3.750e+03 3.178008e-29 3.594836e-21 7.221273e-14 1.019012e-07 3.863449e-03 9.961364e-01
4.250e+03 1.118460e-18 1.803567e-11 1.339196e-05 6.207137e-02 9.339027e-01 4.012526e-03
4.750e+03 2.784932e-12 1.387212e-05 1.418532e-01 8.566756e-01 1.457348e-03 7.193044e-12
5.250e+03 4.671241e-09 5.506585e-03 9.826463e-01 1.184709e-02 3.991794e-09 3.854991e-23
5.750e+03 6.348354e-06 5.824479e-01 4.175445e-01 1.252601e-06 5.344992e-18 1.577081e-39
6.250e+03 9.497000e-05 9.937883e-01 6.116697e-03 1.378772e-11 3.215942e-27 2.511464e-55
6.750e+03 1.030440e-03 9.989429e-01 2.669749e-05 1.565865e-17 4.538560e-38 8.883546e-74
7.250e+03 2.231526e-02 9.776847e-01 2.888547e-08 6.662752e-25 2.038132e-51 2.568419e-96
7.750e+03 2.770702e-01 7.229298e-01 3.476542e-11 5.388032e-32 3.467928e-64 7.584678e-118
8.250e+03 6.329309e-01 3.670691e-01 4.633272e-13 2.881422e-36 9.654676e-72 1.663084e-130
8.750e+03 8.513233e-01 1.486767e-01 9.836137e-15 6.926735e-40 4.964938e-78 5.974287e-141
9.250e+03 9.312004e-01 6.879956e-02 5.286834e-16 1.395803e-42 1.096523e-82 1.156355e-148
9.750e+03 9.386691e-01 6.133087e-02 2.912213e-16 3.472862e-43 8.763987e-84 1.474049e-150
1.025e+04 9.509326e-01 4.906739e-02 1.114050e-16 4.097462e-44 1.979629e-85 2.393120e-153
1.075e+04 9.570905e-01 4.290951e-02 5.781489e-17 9.044341e-45 1.293794e-86 2.200091e-155
1.125e+04 9.498088e-01 5.019119e-02 8.006363e-17 1.488609e-44 2.541623e-86 5.203526e-155
1.175e+04 9.009518e-01 9.904816e-02 6.755770e-16 1.007829e-42 2.737511e-83 3.638952e-150
1.225e+04 8.035756e-01 1.964244e-01 6.714882e-15 1.021776e-40 6.131143e-80 8.807492e-145
1.275e+04 7.459100e-01 2.540900e-01 1.513779e-14 4.881318e-40 7.677920e-79 4.475117e-143
1.325e+04 7.384220e-01 2.615780e-01 1.389763e-14 3.493921e-40 3.702021e-79 1.076527e-143
1.375e+04 8.515633e-01 1.484367e-01 1.271313e-15 1.942365e-42 4.329126e-83 2.994575e-150
1.425e+04 8.695550e-01 1.304450e-01 6.471799e-16 4.053167e-43 2.542226e-84 2.284987e-152
1.475e+04 9.176027e-01 8.239734e-02 1.041726e-16 7.886515e-45 2.657361e-87 2.423778e-157
1.525e+04 9.564305e-01 4.356945e-02 9.693063e-18 5.125066e-47 4.415251e-91 1.305455e-163
1.575e+04 9.609703e-01 3.902972e-02 5.458666e-18 1.337653e-47 3.834049e-92 1.908208e-165
1.625e+04 9.603368e-01 3.966319e-02 4.693585e-18 8.289456e-48 1.438330e-92 3.027965e-166
1.675e+04 9.783021e-01 2.169792e-02 5.120419e-19 7.601119e-50 4.332991e-96 4.345300e-172
1.725e+04 9.870467e-01 1.295332e-02 7.529846e-20 1.282464e-51 3.654885e-99 3.321585e-177
1.775e+04 9.822366e-01 1.776337e-02 1.750764e-19 6.057252e-51 4.268031e-98 1.436353e-175
1.825e+04 9.898817e-01 1.011833e-02 2.204653e-20 7.439086e-53 2.100075e-101 4.546433e-181
1.875e+04 9.853066e-01 1.469335e-02 6.198952e-20 5.183570e-52 4.742159e-100 5.775278e-179
1.925e+04 9.894764e-01 1.052360e-02 1.670693e-20 3.011009e-53 3.239317e-102 1.334975e-182
1.975e+04 9.874608e-01 1.253916e-02 2.434831e-20 5.481308e-53 7.536207e-102 4.160175e-182
2.025e+04 9.889114e-01 1.108858e-02 1.320444e-20 1.326754e-53 5.763857e-103 4.941996e-184
