#NTIMES: 265
#NSTAGES: 5
#TIMES[d]: 1.0736 1.18096 1.299056 1.428962 1.571858 1.729044 1.901948 2.092143 2.301357 2.531493 2.784642 3.063106 3.369417 3.706359 4.076994 4.484694 4.933163 5.426479 5.969127 6.56604 7.222644 7.944908 8.739399 9.613339 10.574673 11.574673 12.574673 13.574673 14.574673 15.574673 16.574673 17.574673 18.574673 19.574673 20.574673 21.574673 22.574673 23.574673 24.574673 25.574673 26.574673 27.574673 28.574673 29.574673 30.574673 31.574673 32.574673 33.574673 34.574673 35.574673 36.574673 37.574673 38.574673 39.574673 40.574673 41.574673 42.574673 43.574673 44.574673 45.574673 46.574673 47.574673 48.57467 49.57467 50.57467 51.57467 52.57467 53.57467 54.57467 55.57467 56.57467 57.57467 58.57467 59.57467 60.57467 61.57467 62.57467 63.57467 64.57467 65.57467 66.57467 67.57467 68.57467 69.57467 70.57467 71.57467 72.57467 73.57467 74.57467 75.57467 76.57467 77.57467 78.57467 79.57467 80.57467 81.57467 82.57467 83.57467 84.57467 85.57467 86.57467 87.57467 88.57467 89.57467 90.57467 91.57467 92.57467 93.57467 94.57467 95.57467 96.57467 97.574676 98.574676 99.574676 100.574676 101.574676 102.574676 103.574676 104.574676 105.574676 106.574676 107.574676 108.574676 109.574676 110.574676 111.574676 112.574676 113.574676 114.574676 115.574676 116.574676 117.574676 118.574676 119.574676 120.574676 121.574676 122.574676 123.574676 124.574676 125.574676 126.574676 127.574676 128.574676 129.574676 130.574676 131.574676 132.574676 133.574676 134.574676 135.574676 136.574676 137.574676 138.574676 139.574676 140.574676 141.574676 142.574676 143.574676 144.574676 145.574676 146.574676 147.574676 148.574676 149.574676 150.574676 151.574676 152.574676 153.574676 154.574676 155.574676 156.574676 157.574676 158.574676 159.574676 160.574676 161.574676 162.574676 163.574676 164.574676 165.574676 166.574676 167.574676 168.574676 169.574676 170.574676 171.574676 172.574676 173.574676 174.574676 175.574676 176.574676 177.574676 178.574676 179.574676 180.574676 181.574676 182.574676 183.574676 184.574676 185.574676 186.574676 187.574676 188.574676 189.574676 190.574676 191.574676 192.574676 193.574676 194.574676 195.574676 196.574676 197.574676 198.574676 199.574676 200.574676 201.574676 202.574676 203.574676 204.574676 205.574676 206.574676 207.574676 208.574676 209.574676 210.574676 211.574676 212.574676 213.574676 214.574676 215.574676 216.574676 217.574676 218.574676 219.574676 220.574676 221.574676 222.574676 223.574676 224.574676 225.574676 226.574676 227.574676 228.574676 229.574676 230.574676 231.574676 232.574676 233.574676 234.574676 235.574676 236.574676 237.574676 238.574676 239.574676 240.574676 241.574676 242.574676 243.574676 244.574676 245.574676 246.574676 247.574676 248.574676 249.574676 250.574676 
#
#TIME: 1.073600
#NVEL: 114
#vel_mid[km/s] Ti0 Ti1 Ti2 Ti3 Ti4
4.671e+03 4.069349e-32 7.472469e-23 1.991487e-14 4.817957e-07 9.999995e-01
4.956e+03 2.039170e-32 4.413773e-23 1.401797e-14 4.067409e-07 9.999996e-01
5.259e+03 1.011793e-32 2.595862e-23 9.839457e-15 3.421298e-07 9.999997e-01
5.580e+03 6.724284e-33 1.909453e-23 8.017756e-15 3.089974e-07 9.999997e-01
5.921e+03 5.218451e-33 1.591068e-23 7.100394e-15 2.890684e-07 9.999997e-01
6.282e+03 4.415661e-33 1.423745e-23 6.595102e-15 2.756932e-07 9.999997e-01
6.666e+03 4.288330e-33 1.415847e-23 6.573378e-15 2.720957e-07 9.999997e-01
7.074e+03 4.448812e-33 1.488145e-23 6.800453e-15 2.727640e-07 9.999997e-01
7.506e+03 4.470129e-33 1.544374e-23 6.981858e-15 2.710377e-07 9.999997e-01
7.964e+03 5.044477e-33 1.759478e-23 7.636062e-15 2.780093e-07 9.999997e-01
8.451e+03 7.106795e-33 2.377182e-23 9.368510e-15 3.028719e-07 9.999997e-01
8.967e+03 1.183600e-32 3.704263e-23 1.268258e-14 3.472711e-07 9.999997e-01
9.514e+03 2.593915e-32 7.297270e-23 2.022119e-14 4.367560e-07 9.999996e-01
1.010e+04 9.286342e-32 2.158377e-22 4.291606e-14 6.543851e-07 9.999993e-01
1.071e+04 6.061735e-31 1.074204e-21 1.339194e-13 1.286884e-06 9.999987e-01
1.137e+04 9.259890e-30 1.142741e-20 7.691783e-13 4.038207e-06 9.999960e-01
1.206e+04 4.422595e-28 3.442721e-19 1.128914e-11 2.490592e-05 9.999751e-01
1.279e+04 4.688522e-26 2.197055e-17 3.648289e-10 2.435617e-04 9.997564e-01
1.353e+04 5.339653e-24 1.616833e-15 1.504802e-08 2.604196e-03 9.973958e-01
1.419e+04 9.893926e-22 2.041037e-13 1.031141e-06 3.664212e-02 9.633569e-01
1.476e+04 2.930989e-19 4.373605e-11 1.035830e-04 5.099296e-01 4.899668e-01
1.524e+04 4.211054e-17 3.709796e-09 2.635078e-03 9.819329e-01 1.543201e-02
1.565e+04 5.832643e-15 2.722082e-07 4.491099e-02 9.549149e-01 1.738401e-04
1.596e+04 7.998035e-13 1.810525e-05 5.460911e-01 4.538903e-01 5.497821e-07
1.619e+04 2.268715e-11 2.290678e-04 9.803721e-01 1.939886e-02 7.160874e-11
1.635e+04 4.323580e-10 1.923922e-03 9.977718e-01 3.043185e-04 1.615172e-15
1.648e+04 9.290868e-09 1.787660e-02 9.821204e-01 3.009299e-06 1.075798e-20
1.659e+04 1.285340e-07 1.192774e-01 8.807225e-01 3.805017e-08 1.455555e-25
1.669e+04 7.031161e-07 3.848646e-01 6.151347e-01 9.115211e-10 1.462328e-29
1.679e+04 1.568622e-06 6.377908e-01 3.622077e-01 4.743111e-11 1.378971e-32
1.689e+04 2.350907e-06 7.882511e-01 2.117465e-01 4.515151e-12 6.356609e-35
1.700e+04 3.082742e-06 8.758854e-01 1.241115e-01 5.564058e-13 5.791021e-37
1.715e+04 3.918455e-06 9.305108e-01 6.948527e-02 6.653961e-14 5.305924e-39
1.742e+04 5.515844e-06 9.717791e-01 2.821535e-02 2.930014e-15 5.951795e-42
1.789e+04 1.081256e-05 9.949445e-01 5.044640e-03 1.023257e-17 3.392587e-47
1.853e+04 2.459026e-05 9.992679e-01 7.074846e-04 1.953592e-20 6.325512e-53
1.926e+04 5.116109e-05 9.998325e-01 1.163881e-04 5.931407e-23 2.989690e-58
2.003e+04 9.879951e-05 9.998795e-01 2.165102e-05 2.520347e-25 2.713642e-63
2.084e+04 1.817073e-04 9.998137e-01 4.585341e-06 1.627732e-27 5.989386e-68
2.165e+04 3.264240e-04 9.996725e-01 1.081553e-06 1.544173e-29 3.101739e-72
2.245e+04 5.326731e-04 9.994670e-01 2.890249e-07 1.989340e-31 2.787659e-76
2.325e+04 8.081294e-04 9.991918e-01 8.647200e-08 3.482333e-33 4.526775e-80
2.405e+04 1.159127e-03 9.988408e-01 2.933722e-08 9.040569e-35 1.675097e-83
2.487e+04 1.545044e-03 9.984549e-01 1.179204e-08 4.016781e-36 1.916746e-86
2.570e+04 1.879895e-03 9.981201e-01 5.612537e-09 2.937133e-37 6.011037e-89
2.659e+04 2.132093e-03 9.978679e-01 2.837659e-09 2.371824e-38 2.112768e-91
2.764e+04 2.553773e-03 9.974462e-01 1.072801e-09 6.561809e-40 6.707345e-95
2.899e+04 3.492325e-03 9.965077e-01 2.238051e-10 2.120377e-42 1.785522e-100
3.065e+04 1.921576e-03 9.980784e-01 2.091566e-10 4.610700e-43 1.886106e-102
3.252e+04 5.653022e-04 9.994347e-01 4.589708e-10 8.876388e-43 1.134424e-102
3.446e+04 1.154361e-04 9.998846e-01 2.189752e-09 1.909383e-41 1.032750e-100
3.637e+04 3.654295e-05 9.999634e-01 8.931740e-09 5.402226e-40 3.689286e-98
3.815e+04 1.595597e-05 9.999840e-01 2.970911e-08 1.298166e-38 1.536193e-95
3.975e+04 1.097346e-05 9.999890e-01 4.751004e-08 4.045596e-38 1.166000e-94
4.117e+04 1.037389e-05 9.999896e-01 3.769844e-08 1.401279e-38 8.985020e-96
4.247e+04 1.352949e-05 9.999865e-01 1.399724e-08 4.277578e-40 4.117505e-99
4.369e+04 2.529191e-05 9.999747e-01 2.552698e-09 1.517598e-42 2.276643e-104
4.488e+04 5.998162e-05 9.999400e-01 2.999739e-10 1.468656e-45 9.048578e-111
4.608e+04 1.346713e-04 9.998653e-01 3.914240e-11 1.943366e-48 6.802862e-117
4.729e+04 1.274807e-04 9.998725e-01 3.019764e-11 6.012491e-49 4.034788e-118
4.852e+04 1.011178e-04 9.998989e-01 3.380658e-11 5.883923e-49 2.611095e-118
4.975e+04 7.778526e-05 9.999222e-01 4.035636e-11 7.020631e-49 2.548886e-118
5.101e+04 5.827701e-05 9.999417e-01 5.081621e-11 9.858886e-49 3.480878e-118
5.229e+04 4.314790e-05 9.999569e-01 6.543442e-11 1.479934e-48 5.444945e-118
5.360e+04 3.186613e-05 9.999681e-01 8.455819e-11 2.242325e-48 8.667768e-118
5.492e+04 2.347190e-05 9.999765e-01 1.098087e-10 3.447194e-48 1.421085e-117
5.627e+04 1.727995e-05 9.999827e-01 1.428264e-10 5.328307e-48 2.357508e-117
5.762e+04 1.274901e-05 9.999873e-01 1.855715e-10 8.236800e-48 3.926048e-117
5.899e+04 9.453419e-06 9.999905e-01 2.398744e-10 1.259977e-47 6.433372e-117
6.034e+04 7.057507e-06 9.999929e-01 3.086823e-10 1.919425e-47 1.055935e-116
6.168e+04 5.328709e-06 9.999947e-01 3.927221e-10 2.857440e-47 1.673703e-116
6.297e+04 4.078199e-06 9.999959e-01 4.940825e-10 4.180037e-47 2.604715e-116
6.422e+04 3.172744e-06 9.999968e-01 6.129389e-10 5.974789e-47 3.946591e-116
6.539e+04 2.518912e-06 9.999975e-01 7.468867e-10 8.280406e-47 5.755188e-116
6.646e+04 2.049344e-06 9.999979e-01 8.902381e-10 1.103493e-46 7.978084e-116
6.742e+04 1.708314e-06 9.999983e-01 1.039409e-09 1.421785e-46 1.064417e-115
6.826e+04 1.464833e-06 9.999985e-01 1.184097e-09 1.757296e-46 1.350911e-115
6.896e+04 1.287083e-06 9.999987e-01 1.322884e-09 2.110386e-46 1.669659e-115
6.948e+04 1.163470e-06 9.999988e-01 1.440096e-09 2.418616e-46 1.939862e-115
6.976e+04 1.118752e-06 9.999989e-01 1.486579e-09 2.537738e-46 2.033107e-115
6.989e+04 1.097056e-06 9.999989e-01 1.510358e-09 2.599399e-46 2.081289e-115
6.995e+04 1.088365e-06 9.999989e-01 1.516775e-09 2.601335e-46 2.057544e-115
6.998e+04 1.084687e-06 9.999989e-01 1.518152e-09 2.592658e-46 2.030140e-115
7.000e+04 1.084342e-06 9.999989e-01 1.514878e-09 2.568207e-46 1.984753e-115
#TIME: 1.180960
#NVEL: 114
#vel_mid[km/s] Ti0 Ti1 Ti2 Ti3 Ti4
4.401e+02 5.527906e-27 1.047550e-18 1.342303e-11 1.330112e-05 9.999867e-01
8.862e+02 1.493774e-26 2.413319e-18 2.444349e-11 1.926613e-05 9.999807e-01
9.061e+02 1.329316e-26 2.187945e-18 2.277320e-11 1.843360e-05 9.999816e-01
9.444e+02 1.040454e-26 1.780918e-18 1.963481e-11 1.681007e-05 9.999832e-01
9.991e+02 7.382180e-27 1.335169e-18 1.596660e-11 1.479408e-05 9.999852e-01
1.061e+03 7.208549e-27 1.308747e-18 1.573950e-11 1.466414e-05 9.999853e-01
1.126e+03 7.014812e-27 1.278949e-18 1.548088e-11 1.451392e-05 9.999855e-01
1.194e+03 5.936138e-27 1.110853e-18 1.399156e-11 1.363357e-05 9.999864e-01
1.267e+03 3.609431e-27 7.305772e-19 1.037132e-11 1.135131e-05 9.999886e-01
1.345e+03 1.486105e-27 3.456993e-19 6.098585e-12 8.253132e-06 9.999917e-01
1.427e+03 4.550784e-28 1.277226e-19 3.033544e-12 5.522787e-06 9.999945e-01
1.514e+03 2.149438e-28 6.840255e-20 1.968656e-12 4.362533e-06 9.999956e-01
1.607e+03 9.587872e-29 3.527892e-20 1.250389e-12 3.440722e-06 9.999966e-01
1.705e+03 3.461466e-29 1.523664e-20 7.048892e-13 2.578852e-06 9.999974e-01
1.809e+03 1.550732e-29 7.860419e-21 4.497136e-13 2.078328e-06 9.999979e-01
1.919e+03 6.622505e-30 3.913101e-21 2.807511e-13 1.672263e-06 9.999983e-01
2.037e+03 2.611496e-30 1.827692e-21 1.682571e-13 1.333516e-06 9.999987e-01
2.161e+03 1.020768e-30 8.524992e-22 1.009633e-13 1.071122e-06 9.999989e-01
2.293e+03 3.538757e-31 3.642118e-22 5.722996e-14 8.416611e-07 9.999992e-01
2.433e+03 1.207856e-31 1.540484e-22 3.226707e-14 6.633767e-07 9.999993e-01
2.582e+03 5.672353e-32 8.423472e-23 2.160055e-14 5.629653e-07 9.999994e-01
2.739e+03 3.429729e-32 5.643400e-23 1.655470e-14 5.050584e-07 9.999995e-01
2.907e+03 2.462752e-32 4.362276e-23 1.394954e-14 4.682266e-07 9.999995e-01
3.084e+03 2.012859e-32 3.781614e-23 1.267725e-14 4.422773e-07 9.999996e-01
3.273e+03 1.880270e-32 3.682631e-23 1.244221e-14 4.269369e-07 9.999996e-01
3.472e+03 1.933154e-32 3.890617e-23 1.289297e-14 4.200953e-07 9.999996e-01
3.685e+03 2.235527e-32 4.555744e-23 1.431411e-14 4.235341e-07 9.999996e-01
3.910e+03 1.991977e-32 4.366966e-23 1.392016e-14 4.032221e-07 9.999996e-01
4.148e+03 1.801876e-32 4.136401e-23 1.343192e-14 3.901662e-07 9.999996e-01
4.402e+03 1.952030e-32 4.395850e-23 1.398817e-14 3.979420e-07 9.999996e-01
4.671e+03 1.596266e-32 3.756532e-23 1.259469e-14 3.792548e-07 9.999996e-01
4.956e+03 8.384872e-33 2.305915e-23 9.095786e-15 3.234820e-07 9.999997e-01
5.259e+03 4.499254e-33 1.445800e-23 6.663223e-15 2.768530e-07 9.999997e-01
5.580e+03 3.437650e-33 1.192032e-23 5.859970e-15 2.580122e-07 9.999997e-01
5.921e+03 2.866837e-33 1.053680e-23 5.399295e-15 2.455131e-07 9.999998e-01
6.282e+03 2.542848e-33 9.802661e-24 5.148799e-15 2.370370e-07 9.999998e-01
6.666e+03 2.794796e-33 1.079338e-23 5.496647e-15 2.412824e-07 9.999998e-01
7.074e+03 3.413144e-33 1.297852e-23 6.228764e-15 2.523713e-07 9.999997e-01
7.506e+03 3.752145e-33 1.451809e-23 6.734620e-15 2.580186e-07 9.999997e-01
7.964e+03 4.674781e-33 1.796989e-23 7.803651e-15 2.738220e-07 9.999997e-01
8.451e+03 8.550795e-33 3.017039e-23 1.112369e-14 3.238548e-07 9.999997e-01
8.967e+03 2.007010e-32 6.264049e-23 1.841147e-14 4.186981e-07 9.999996e-01
9.514e+03 6.921909e-32 1.808159e-22 3.861889e-14 6.317719e-07 9.999994e-01
1.010e+04 4.782501e-31 9.348399e-22 1.241315e-13 1.274141e-06 9.999987e-01
1.071e+04 7.561650e-30 9.969909e-21 7.095525e-13 3.935299e-06 9.999961e-01
1.137e+04 2.896564e-28 2.398410e-19 8.506368e-12 2.076904e-05 9.999792e-01
1.206e+04 1.982527e-26 1.044847e-17 1.990324e-10 1.670718e-04 9.998329e-01
1.279e+04 2.523554e-24 8.449740e-16 8.849183e-09 1.890216e-03 9.981098e-01
1.353e+04 7.368979e-22 1.574119e-13 8.329420e-07 3.228285e-02 9.677163e-01
1.419e+04 3.653826e-19 5.461992e-11 1.255062e-04 5.563774e-01 4.434971e-01
1.476e+04 4.157294e-17 4.357345e-09 3.225160e-03 9.870352e-01 9.739684e-03
1.524e+04 4.275428e-15 2.867266e-07 5.465532e-02 9.452507e-01 9.365982e-05
1.565e+04 4.089210e-13 1.485075e-05 5.726385e-01 4.273463e-01 3.094518e-07
1.596e+04 1.510866e-11 2.019687e-04 9.824172e-01 1.738079e-02 4.351830e-11
1.619e+04 1.638719e-10 1.081468e-03 9.981898e-01 7.287118e-04 1.301341e-14
1.635e+04 1.124503e-09 4.269254e-03 9.956833e-01 4.747581e-05 1.170915e-17
1.648e+04 1.358364e-08 2.619127e-02 9.738077e-01 1.022060e-06 5.739652e-22
1.659e+04 1.310519e-07 1.340989e-01 8.659010e-01 2.148256e-08 2.919587e-26
1.669e+04 4.644238e-07 3.253434e-01 6.746562e-01 1.330550e-09 2.924693e-29
1.679e+04 1.180214e-06 5.923980e-01 4.076008e-01 6.239450e-11 2.035945e-32
1.689e+04 1.985856e-06 7.811239e-01 2.188742e-01 3.879143e-12 3.506429e-35
1.700e+04 2.876363e-06 8.915164e-01 1.084807e-01 2.616453e-13 8.614877e-38
1.715e+04 5.198406e-06 9.700651e-01 2.992974e-02 3.324065e-15 7.274497e-42
1.742e+04 1.666465e-05 9.976645e-01 2.318807e-03 1.064735e-18 3.594802e-49
1.789e+04 5.044310e-05 9.997779e-01 1.717035e-04 2.775110e-22 1.053633e-56
1.853e+04 7.279730e-05 9.998668e-01 6.035808e-05 8.565915e-24 5.954898e-60
1.926e+04 1.151539e-04 9.998673e-01 1.752568e-05 1.465503e-25 9.904156e-64
2.003e+04 4.585541e-04 9.995407e-01 7.537550e-07 7.183813e-30 9.174084e-73
2.084e+04 5.766207e-04 9.994230e-01 3.322441e-07 4.130683e-31 1.741050e-75
2.165e+04 1.395719e-03 9.986042e-01 3.736723e-08 3.559968e-34 5.544017e-82
2.245e+04 1.983513e-04 9.998000e-01 1.645390e-06 3.036997e-29 6.563730e-72
2.325e+04 3.935469e-03 9.960645e-01 1.887232e-09 1.620389e-38 2.416249e-91
2.405e+04 1.770439e-03 9.982296e-01 8.748609e-09 1.580992e-36 2.740990e-87
2.487e+04 7.261415e-04 9.992738e-01 4.524648e-08 1.998061e-34 4.885436e-83
2.570e+04 9.906691e-04 9.990093e-01 1.696332e-08 7.010501e-36 3.351280e-86
2.659e+04 2.662625e-03 9.973374e-01 1.319145e-09 1.662714e-39 6.269665e-94
2.764e+04 3.082329e-01 6.917671e-01 3.799018e-16 4.433168e-61 2.693364e-140
2.899e+04 8.840214e-02 9.115979e-01 2.119696e-14 1.066674e-55 5.149092e-129
3.065e+04 1.794101e-01 8.205899e-01 3.624837e-16 4.911249e-62 3.900984e-143
3.252e+04 8.675432e-01 1.324568e-01 2.978031e-21 2.814339e-77 3.765266e-175
3.446e+04 9.971542e-01 2.845755e-03 2.211615e-27 1.496289e-93 5.484986e-208
3.637e+04 9.992445e-01 7.555140e-04 1.010727e-29 4.013946e-100 1.412984e-221
3.815e+04 9.949036e-01 5.096364e-03 7.370165e-27 1.000092e-92 8.002293e-207
3.975e+04 5.513713e-01 4.486287e-01 5.229040e-20 2.418921e-75 1.484755e-172
4.117e+04 9.996753e-01 3.246552e-04 1.591014e-31 1.392198e-105 3.350918e-233
4.247e+04 9.999846e-01 1.540462e-05 1.264703e-36 1.507866e-119 8.804133e-262
4.369e+04 9.999368e-01 6.319394e-05 1.691095e-34 4.847737e-114 8.769466e-251
4.488e+04 1.150788e-01 8.849212e-01 2.532100e-18 2.096007e-71 2.167263e-165
4.608e+04 9.983178e-01 1.682183e-03 1.622067e-29 4.450451e-101 7.659288e-225
4.729e+04 9.999997e-01 2.586580e-07 6.421050e-44 3.987092e-140 2.046389e-304
4.852e+04 1.000000e+00 2.640010e-08 6.913899e-48 3.491005e-151 0.000000e+00
4.975e+04 9.999999e-01 5.495045e-08 1.147266e-46 7.451787e-148 2.082981e-320
5.101e+04 4.695578e-01 5.304422e-01 4.192417e-21 2.462135e-80 1.598460e-184
5.229e+04 9.997719e-01 2.281444e-04 1.885585e-33 1.207022e-112 3.380179e-249
5.360e+04 9.999998e-01 1.748611e-07 2.614002e-45 6.520916e-145 4.673317e-315
5.492e+04 9.999897e-01 1.026294e-05 9.046120e-39 2.214703e-127 1.670861e-279
5.627e+04 9.997560e-01 2.439739e-04 9.278321e-34 4.748485e-114 1.472150e-252
5.762e+04 9.989433e-01 1.056747e-03 1.554212e-31 2.888303e-108 5.501506e-241
5.899e+04 9.976313e-01 2.368696e-03 2.191668e-30 2.177299e-105 2.485810e-235
6.034e+04 5.219623e-01 4.780377e-01 2.240172e-22 3.390741e-85 1.222147e-195
6.168e+04 4.699751e-01 5.300249e-01 2.767861e-22 3.793408e-85 9.793263e-196
6.297e+04 9.762691e-01 2.373095e-02 2.920737e-27 7.932082e-98 1.013954e-220
6.422e+04 5.333131e-01 4.666869e-01 8.169994e-23 6.559105e-87 1.383516e-199
6.539e+04 9.999990e-01 1.033893e-06 1.259233e-43 4.972098e-142 1.194673e-310
6.646e+04 1.000000e+00 1.561578e-08 3.477013e-49 2.689758e-155 0.000000e+00
6.742e+04 1.000000e+00 7.434699e-11 4.017089e-56 1.357167e-171 0.000000e+00
6.826e+04 1.000000e+00 9.047870e-11 5.949458e-56 2.446145e-171 0.000000e+00
6.896e+04 1.000000e+00 9.070033e-11 5.978639e-56 2.464164e-171 0.000000e+00
6.948e+04 1.000000e+00 9.085408e-11 5.998927e-56 2.476717e-171 0.000000e+00
6.976e+04 1.000000e+00 9.091049e-11 6.006378e-56 2.481333e-171 0.000000e+00
6.989e+04 1.000000e+00 9.093770e-11 6.009974e-56 2.483562e-171 0.000000e+00
6.995e+04 1.000000e+00 9.095105e-11 6.011739e-56 2.484656e-171 0.000000e+00
6.998e+04 1.000000e+00 9.095769e-11 6.012616e-56 2.485200e-171 0.000000e+00
7.000e+04 1.000000e+00 9.096081e-11 6.013029e-56 2.485455e-171 0.000000e+00
#TIME: 1.299056
#NVEL: 114
#vel_mid[km/s] Ti0 Ti1 Ti2 Ti3 Ti4
4.401e+02 5.910676e-27 1.227921e-18 1.574038e-11 1.571914e-05 9.999843e-01
8.862e+02 7.489413e-27 1.498574e-18 1.818722e-11 1.721393e-05 9.999828e-01
9.061e+02 1.292121e-26 2.372413e-18 2.542060e-11 2.127581e-05 9.999787e-01
9.444e+02 8.008104e-27 1.585473e-18 1.894772e-11 1.766420e-05 9.999823e-01
9.991e+02 7.981191e-27 1.580986e-18 1.890872e-11 1.764126e-05 9.999824e-01
1.061e+03 1.075803e-26 2.032937e-18 2.270853e-11 1.980597e-05 9.999802e-01
1.126e+03 6.387396e-27 1.310457e-18 1.649863e-11 1.618811e-05 9.999838e-01
