#NTIMES: 265
#NSTAGES: 6
#TIMES[d]: 1.0736 1.18096 1.299056 1.428962 1.571858 1.729044 1.901948 2.092143 2.301357 2.531493 2.784642 3.063106 3.369417 3.706359 4.076994 4.484694 4.933163 5.426479 5.969127 6.56604 7.222644 7.944908 8.739399 9.613339 10.574673 11.574673 12.574673 13.574673 14.574673 15.574673 16.574673 17.574673 18.574673 19.574673 20.574673 21.574673 22.574673 23.574673 24.574673 25.574673 26.574673 27.574673 28.574673 29.574673 30.574673 31.574673 32.574673 33.574673 34.574673 35.574673 36.574673 37.574673 38.574673 39.574673 40.574673 41.574673 42.574673 43.574673 44.574673 45.574673 46.574673 47.574673 48.57467 49.57467 50.57467 51.57467 52.57467 53.57467 54.57467 55.57467 56.57467 57.57467 58.57467 59.57467 60.57467 61.57467 62.57467 63.57467 64.57467 65.57467 66.57467 67.57467 68.57467 69.57467 70.57467 71.57467 72.57467 73.57467 74.57467 75.57467 76.57467 77.57467 78.57467 79.57467 80.57467 81.57467 82.57467 83.57467 84.57467 85.57467 86.57467 87.57467 88.57467 89.57467 90.57467 91.57467 92.57467 93.57467 94.57467 95.57467 96.57467 97.574676 98.574676 99.574676 100.574676 101.574676 102.574676 103.574676 104.574676 105.574676 106.574676 107.574676 108.574676 109.574676 110.574676 111.574676 112.574676 113.574676 114.574676 115.574676 116.574676 117.574676 118.574676 119.574676 120.574676 121.574676 122.574676 123.574676 124.574676 125.574676 126.574676 127.574676 128.574676 129.574676 130.574676 131.574676 132.574676 133.574676 134.574676 135.574676 136.574676 137.574676 138.574676 139.574676 140.574676 141.574676 142.574676 143.574676 144.574676 145.574676 146.574676 147.574676 148.574676 149.574676 150.574676 151.574676 152.574676 153.574676 154.574676 155.574676 156.574676 157.574676 158.574676 159.574676 160.574676 161.574676 162.574676 163.574676 164.574676 165.574676 166.574676 167.574676 168.574676 169.574676 170.574676 171.574676 172.574676 173.574676 174.574676 175.574676 176.574676 177.574676 178.574676 179.574676 180.574676 181.574676 182.574676 183.574676 184.574676 185.574676 186.574676 187.574676 188.574676 189.574676 190.574676 191.574676 192.574676 193.574676 194.574676 195.574676 196.574676 197.574676 198.574676 199.574676 200.574676 201.574676 202.574676 203.574676 204.574676 205.574676 206.574676 207.574676 208.574676 209.574676 210.574676 211.574676 212.574676 213.574676 214.574676 215.574676 216.574676 217.574676 218.574676 219.574676 220.574676 221.574676 222.574676 223.574676 224.574676 225.574676 226.574676 227.574676 228.574676 229.574676 230.574676 231.574676 232.574676 233.574676 234.574676 235.574676 236.574676 237.574676 238.574676 239.574676 240.574676 241.574676 242.574676 243.574676 244.574676 245.574676 246.574676 247.574676 248.574676 249.574676 250.574676
#
#TIME: 1.073600
#NVEL: 114
#vel_mid[km/s] C0 C1 C2 C3 C4 C5
7.964e+03 7.658097e-31 2.683803e-21 3.039412e-13 2.469709e-06 9.999975e-01 1.264662e-08
8.451e+03 1.346616e-30 4.274644e-21 3.996388e-13 2.583529e-06 9.999974e-01 2.384616e-09
8.967e+03 3.048239e-30 8.363796e-21 5.954603e-13 2.823264e-06 9.999972e-01 2.346754e-10
9.514e+03 1.044686e-29 2.294789e-20 1.092621e-12 3.391971e-06 9.999966e-01 7.922624e-12
1.010e+04 7.031791e-29 1.082827e-19 2.840423e-12 5.090255e-06 9.999949e-01 6.352313e-14
1.071e+04 1.197621e-27 1.094186e-18 1.235745e-11 1.177468e-05 9.999882e-01 4.229832e-17
1.137e+04 8.239631e-26 3.532925e-17 1.361402e-10 6.039609e-05 9.999396e-01 4.645017e-22
1.206e+04 3.787573e-23 5.724254e-15 8.245524e-09 8.725930e-04 9.991274e-01 1.721124e-29
1.279e+04 6.121658e-20 2.987980e-12 2.105244e-06 2.342371e-02 9.765742e-01 1.736015e-38
1.353e+04 7.240669e-17 1.485239e-09 4.646059e-04 4.333787e-01 5.661567e-01 4.314755e-48
1.419e+04 1.651097e-14 1.937035e-07 1.754088e-02 9.583871e-01 2.407181e-02 3.706654e-60
1.476e+04 3.154958e-12 2.574362e-05 3.875722e-01 6.122921e-01 1.099977e-04 6.380858e-76
1.524e+04 1.801703e-10 7.354072e-04 9.808532e-01 1.841136e-02 7.800372e-09 6.895165e-96
1.565e+04 7.443794e-09 1.069258e-02 9.891602e-01 1.472261e-04 9.263751e-14 1.660593e-117
1.596e+04 4.826743e-07 1.764567e-01 8.235423e-01 5.151758e-07 2.145836e-19 7.962146e-142
1.619e+04 1.230737e-05 8.663107e-01 1.336770e-01 1.450312e-10 1.237102e-26 7.455992e-171
1.635e+04 8.442780e-05 9.963675e-01 3.548118e-03 2.827207e-15 1.510180e-35 5.872518e-205
1.648e+04 5.536855e-04 9.993886e-01 5.766918e-05 1.421139e-20 1.417054e-45 1.014787e-243
1.659e+04 2.886583e-03 9.971121e-01 1.294941e-06 1.614921e-25 5.564779e-55 1.444083e-280
1.669e+04 9.908289e-03 9.900916e-01 6.494971e-08 1.840786e-29 1.610667e-62 1.795408e-310
1.679e+04 2.211443e-02 9.778856e-01 7.611995e-09 2.461056e-32 4.696028e-68 0.000000e+00
1.689e+04 3.883136e-02 9.611686e-01 1.528847e-09 1.678800e-34 3.062442e-72 0.000000e+00
1.700e+04 6.211390e-02 9.378861e-01 3.817784e-10 2.282358e-36 7.595866e-76 0.000000e+00
1.715e+04 9.824379e-02 9.017562e-01 9.515568e-11 3.227670e-38 2.083973e-79 0.000000e+00
1.742e+04 1.862912e-01 8.137088e-01 1.225445e-11 6.925303e-41 1.633952e-84 0.000000e+00
1.789e+04 4.809715e-01 5.190285e-01 2.451242e-13 1.091449e-45 1.503741e-93 0.000000e+00
1.853e+04 8.210279e-01 1.789721e-01 1.908021e-15 3.826803e-51 1.495763e-103 0.000000e+00
1.926e+04 9.517230e-01 4.827702e-02 1.530720e-17 2.310298e-56 5.061536e-113 0.000000e+00
2.003e+04 9.869993e-01 1.300066e-02 1.490194e-19 2.392938e-61 4.622645e-122 0.000000e+00
2.084e+04 9.962157e-01 3.784305e-03 2.024154e-21 5.833221e-66 2.024660e-130 0.000000e+00
2.165e+04 9.988132e-01 1.186827e-03 3.767702e-23 3.292356e-70 4.239788e-138 0.000000e+00
2.245e+04 9.995827e-01 4.173285e-04 9.315091e-25 3.213742e-74 2.137265e-145 0.000000e+00
2.325e+04 9.998378e-01 1.621697e-04 3.035999e-26 5.648206e-78 2.915311e-152 0.000000e+00
2.405e+04 9.999301e-01 6.986150e-05 1.390774e-27 2.247802e-81 1.718140e-158 0.000000e+00
2.487e+04 9.999655e-01 3.454853e-05 1.011491e-28 2.740806e-84 7.575866e-164 0.000000e+00
2.570e+04 9.999803e-01 1.971997e-05 1.139223e-29 9.089897e-87 1.930207e-168 0.000000e+00
2.659e+04 9.999880e-01 1.199848e-05 1.428928e-30 3.382946e-89 5.420421e-173 0.000000e+00
2.764e+04 9.999941e-01 5.907701e-06 7.408554e-32 1.165744e-92 1.763645e-179 0.000000e+00
2.899e+04 9.999981e-01 1.874191e-06 6.481717e-34 3.537904e-98 8.441203e-190 0.000000e+00
3.065e+04 9.999978e-01 2.186838e-06 2.394968e-34 4.001544e-100 5.610432e-194 0.000000e+00
3.252e+04 9.999944e-01 5.553557e-06 6.538409e-34 2.517250e-100 2.739985e-195 0.000000e+00
3.446e+04 9.999733e-01 2.672404e-05 1.436351e-32 2.297069e-98 9.716190e-193 0.000000e+00
3.637e+04 9.998999e-01 1.000522e-04 3.315265e-31 7.987266e-96 9.566976e-189 0.000000e+00
3.815e+04 9.997063e-01 2.936597e-04 5.917870e-30 3.197520e-93 2.159114e-184 0.000000e+00
3.975e+04 9.995452e-01 4.548261e-04 1.709489e-29 2.402527e-92 5.337277e-183 0.000000e+00
4.117e+04 9.996026e-01 3.973682e-04 7.444288e-30 1.908080e-93 3.800138e-185 0.000000e+00
4.247e+04 9.998119e-01 1.881402e-04 4.049883e-31 9.438610e-97 2.848768e-191 0.000000e+00
4.369e+04 9.999508e-01 4.922982e-05 3.389287e-33 5.848068e-102 9.140553e-201 0.000000e+00
4.488e+04 9.999911e-01 8.886060e-06 9.096436e-36 2.662612e-108 2.995939e-212 0.000000e+00
4.608e+04 9.999982e-01 1.752404e-06 3.210858e-38 2.282639e-114 2.992028e-223 0.000000e+00
4.729e+04 9.999985e-01 1.502840e-06 1.277278e-38 1.400230e-115 1.300125e-225 0.000000e+00
4.852e+04 9.999982e-01 1.751088e-06 1.374567e-38 9.177569e-116 3.867461e-226 0.000000e+00
4.975e+04 9.999978e-01 2.151204e-06 1.755868e-38 9.041094e-116 2.379098e-226 0.000000e+00
5.101e+04 9.999972e-01 2.762438e-06 2.583414e-38 1.242424e-115 2.643160e-226 0.000000e+00
5.229e+04 9.999964e-01 3.614739e-06 4.029002e-38 1.953420e-115 3.722388e-226 0.000000e+00
5.360e+04 9.999953e-01 4.745205e-06 6.336947e-38 3.125240e-115 5.396265e-226 0.000000e+00
5.492e+04 9.999937e-01 6.255108e-06 1.009459e-37 5.148325e-115 8.234962e-226 0.000000e+00
5.627e+04 9.999917e-01 8.255601e-06 1.615401e-37 8.580642e-115 1.283948e-225 0.000000e+00
5.762e+04 9.999891e-01 1.088016e-05 2.583097e-37 1.435465e-114 2.023816e-225 0.000000e+00
5.899e+04 9.999857e-01 1.426624e-05 4.087682e-37 2.362938e-114 3.120084e-225 0.000000e+00
6.034e+04 9.999814e-01 1.860801e-05 6.430036e-37 3.895109e-114 4.880526e-225 0.000000e+00
6.168e+04 9.999760e-01 2.399670e-05 9.885158e-37 6.200608e-114 7.283080e-225 0.000000e+00
6.297e+04 9.999694e-01 3.057743e-05 1.490519e-36 9.689031e-114 1.073887e-224 0.000000e+00
6.422e+04 9.999616e-01 3.838919e-05 2.191853e-36 1.473657e-113 1.547236e-224 0.000000e+00
6.539e+04 9.999527e-01 4.730303e-05 3.119224e-36 2.156635e-113 2.145236e-224 0.000000e+00
6.646e+04 9.999430e-01 5.696826e-05 4.260297e-36 2.999486e-113 2.815687e-224 0.000000e+00
6.742e+04 9.999329e-01 6.712336e-05 5.609389e-36 4.013480e-113 3.580383e-224 0.000000e+00
6.826e+04 9.999229e-01 7.707255e-05 7.064269e-36 5.106540e-113 4.343026e-224 0.000000e+00
6.896e+04 9.999134e-01 8.664459e-05 8.610320e-36 6.323962e-113 5.219709e-224 0.000000e+00
6.948e+04 9.999052e-01 9.483315e-05 9.995572e-36 7.360037e-113 5.852709e-224 0.000000e+00
6.976e+04 9.999019e-01 9.813907e-05 1.055034e-35 7.719959e-113 5.989428e-224 0.000000e+00
6.989e+04 9.999002e-01 9.983359e-05 1.083884e-35 7.906055e-113 6.058516e-224 0.000000e+00
6.995e+04 9.998996e-01 1.003832e-04 1.087920e-35 7.818976e-113 5.849765e-224 0.000000e+00
6.998e+04 9.998994e-01 1.005583e-04 1.086442e-35 7.716893e-113 5.670888e-224 0.000000e+00
7.000e+04 9.998996e-01 1.004252e-04 1.078332e-35 7.546382e-113 5.430431e-224 0.000000e+00
#TIME: 1.180960
#NVEL: 114
#vel_mid[km/s] C0 C1 C2 C3 C4 C5
4.401e+02 1.347958e-23 1.246224e-15 1.340936e-09 1.287910e-04 9.998712e-01 9.632017e-19
8.862e+02 5.556652e-23 3.920283e-15 2.892446e-09 2.122516e-04 9.997877e-01 3.687308e-20
9.061e+02 4.704272e-23 3.425793e-15 2.639409e-09 1.998314e-04 9.998002e-01 5.419957e-20
9.444e+02 3.316681e-23 2.581647e-15 2.180301e-09 1.763002e-04 9.998237e-01 1.214815e-19
9.991e+02 2.034144e-23 1.738251e-15 1.672726e-09 1.484189e-04 9.998516e-01 3.744959e-19
1.061e+03 1.966219e-23 1.691130e-15 1.642357e-09 1.466725e-04 9.998533e-01 4.050691e-19
1.126e+03 1.889858e-23 1.637619e-15 1.607551e-09 1.446408e-04 9.998554e-01 4.454724e-19
1.194e+03 1.484110e-23 1.346105e-15 1.411254e-09 1.329513e-04 9.998670e-01 7.917062e-19
1.267e+03 7.245585e-24 7.529415e-16 9.626352e-10 1.042795e-04 9.998957e-01 4.295218e-18
1.345e+03 2.002979e-24 2.655253e-16 4.904335e-10 6.930421e-05 9.999307e-01 9.209680e-17
1.427e+03 3.623626e-25 6.650219e-17 2.041195e-10 4.312477e-05 9.999569e-01 5.301199e-15
1.514e+03 1.262839e-25 2.844569e-17 1.199816e-10 3.356460e-05 9.999664e-01 5.602794e-14
1.607e+03 4.256876e-26 1.192453e-17 6.968077e-11 2.658197e-05 9.999734e-01 5.065028e-13
1.705e+03 1.055430e-26 3.898898e-18 3.489235e-11 2.052669e-05 9.999795e-01 9.558217e-12
1.809e+03 3.506334e-27 1.611480e-18 2.027233e-11 1.722074e-05 9.999828e-01 9.878435e-11
1.919e+03 1.109872e-27 6.423586e-19 1.152550e-11 1.458158e-05 9.999854e-01 1.036922e-09
2.037e+03 3.173301e-28 2.362849e-19 6.246455e-12 1.238097e-05 9.999876e-01 1.299445e-08
2.161e+03 9.220300e-29 8.839890e-20 3.414867e-12 1.058012e-05 9.999893e-01 1.365997e-07
2.293e+03 2.399229e-29 3.050456e-20 1.768047e-12 8.838237e-06 9.999898e-01 1.380821e-06
2.433e+03 6.189818e-30 1.047371e-20 9.120239e-13 7.391653e-06 9.999793e-01 1.332848e-05
2.582e+03 2.402546e-30 4.968498e-21 5.744544e-13 6.525729e-06 9.999307e-01 6.274376e-05
2.739e+03 1.287732e-30 3.042388e-21 4.235367e-13 5.999380e-06 9.998259e-01 1.681022e-04
2.907e+03 8.819003e-31 2.270020e-21 3.514734e-13 5.614620e-06 9.997385e-01 2.559054e-04
3.084e+03 7.532123e-31 2.033561e-21 3.239792e-13 5.257029e-06 9.997981e-01 1.966858e-04
3.273e+03 7.994721e-31 2.178409e-21 3.312986e-13 4.944910e-06 9.999146e-01 8.043444e-05
3.472e+03 9.809555e-31 2.625856e-21 3.632730e-13 4.690542e-06 9.999727e-01 2.260764e-05
3.685e+03 1.459409e-30 3.709699e-21 4.369501e-13 4.483531e-06 9.999919e-01 3.608144e-06
3.910e+03 1.631851e-30 4.210823e-21 4.565492e-13 4.066567e-06 9.999952e-01 7.341533e-07
4.148e+03 1.643590e-30 4.320544e-21 4.557094e-13 3.845941e-06 9.999958e-01 3.494785e-07
4.402e+03 1.787892e-30 4.605614e-21 4.751963e-13 3.919169e-06 9.999957e-01 3.326407e-07
4.671e+03 1.415923e-30 3.843042e-21 4.235618e-13 3.760628e-06 9.999958e-01 4.397629e-07
4.956e+03 7.243944e-31 2.313170e-21 3.033618e-13 3.225639e-06 9.999962e-01 6.236187e-07
5.259e+03 3.888513e-31 1.450759e-21 2.222578e-13 2.760450e-06 9.999965e-01 7.266655e-07
5.580e+03 3.108550e-31 1.237079e-21 1.982705e-13 2.547969e-06 9.999969e-01 5.626338e-07
5.921e+03 2.767976e-31 1.148132e-21 1.864900e-13 2.391130e-06 9.999972e-01 3.687277e-07
6.282e+03 2.687757e-31 1.142516e-21 1.829685e-13 2.265100e-06 9.999975e-01 1.990858e-07
6.666e+03 3.362738e-31 1.385195e-21 2.034323e-13 2.244712e-06 9.999977e-01 7.708641e-08
7.074e+03 4.892706e-31 1.897096e-21 2.435189e-13 2.266990e-06 9.999977e-01 2.100163e-08
7.506e+03 6.622305e-31 2.476599e-21 2.809812e-13 2.228742e-06 9.999978e-01 4.644824e-09
7.964e+03 1.053124e-30 3.674010e-21 3.513742e-13 2.270178e-06 9.999977e-01 7.697377e-10
8.451e+03 2.671983e-30 7.862001e-21 5.548906e-13 2.570837e-06 9.999974e-01 6.399600e-11
8.967e+03 9.842848e-30 2.279078e-20 1.059022e-12 3.223967e-06 9.999968e-01 2.070220e-12
9.514e+03 6.478951e-29 1.060964e-19 2.741955e-12 5.013726e-06 9.999950e-01 1.505529e-14
1.010e+04 1.137712e-27 1.092065e-18 1.228416e-11 1.225248e-05 9.999877e-01 1.192490e-17
1.071e+04 7.227625e-26 3.249564e-17 1.302727e-10 6.042807e-05 9.999396e-01 2.933146e-22
1.137e+04 2.048208e-23 3.454271e-15 5.417536e-09 6.770549e-04 9.993229e-01 7.496608e-29
1.206e+04 1.761929e-20 1.047230e-12 8.543599e-07 1.398598e-02 9.860132e-01 3.565070e-37
1.279e+04 2.928369e-17 6.872142e-10 2.523489e-04 3.291200e-01 6.706277e-01 6.063655e-47
1.353e+04 1.278125e-14 1.556859e-07 1.523670e-02 9.558976e-01 2.886558e-02 1.254153e-59
1.419e+04 3.921406e-12 3.193821e-05 4.366249e-01 5.632673e-01 7.578044e-05 6.547126e-77
1.476e+04 1.900207e-10 8.752957e-04 9.881665e-01 1.095817e-02 2.067035e-09 3.832327e-99
1.524e+04 6.878705e-09 1.242321e-02 9.875045e-01 7.229191e-05 1.469525e-14 2.634093e-122
1.565e+04 3.672810e-07 1.830850e-01 8.169143e-01 2.738179e-07 4.002206e-20 1.390357e-146
1.596e+04 1.050987e-05 8.737740e-01 1.262155e-01 8.596817e-11 3.455924e-27 3.570755e-174
1.619e+04 4.946234e-05 9.919802e-01 7.970297e-03 2.355276e-14 6.644135e-34 1.423525e-199
1.635e+04 1.596982e-04 9.991522e-01 6.881277e-04 1.798571e-17 8.941038e-40 5.545121e-222
1.648e+04 7.353552e-04 9.992419e-01 2.272752e-05 7.018821e-22 3.898239e-48 1.782597e-254
1.659e+04 3.088989e-03 9.969102e-01 8.118792e-07 3.127696e-26 2.018408e-56 5.076903e-287
1.669e+04 7.684929e-03 9.923150e-01 8.617191e-08 3.374787e-29 4.206044e-62 1.214587e-309
1.679e+04 1.822244e-02 9.817776e-01 9.001818e-09 3.227848e-32 6.546518e-68 0.000000e+00
1.689e+04 3.602005e-02 9.639800e-01 1.337738e-09 8.745273e-35 7.250476e-73 0.000000e+00
1.700e+04 6.683897e-02 9.331610e-01 2.258925e-10 3.656848e-37 1.890580e-77 0.000000e+00
1.715e+04 1.774058e-01 8.225942e-01 1.323091e-11 8.072730e-41 2.072196e-84 0.000000e+00
1.742e+04 6.438247e-01 3.561753e-01 4.437474e-14 1.591384e-47 7.638604e-97 0.000000e+00
1.789e+04 9.378494e-01 6.215060e-02 5.287528e-17 7.752246e-55 4.093733e-110 0.000000e+00
1.853e+04 9.717813e-01 2.821869e-02 2.854496e-18 4.832717e-58 5.676079e-116 0.000000e+00
1.926e+04 9.892499e-01 1.075011e-02 9.086431e-20 8.801997e-62 8.901096e-123 0.000000e+00
2.003e+04 9.991668e-01 8.332497e-04 1.782673e-23 9.762579e-71 7.484843e-139 0.000000e+00
2.084e+04 9.995537e-01 4.463290e-04 1.628885e-24 1.964266e-73 7.809109e-144 0.000000e+00
2.165e+04 9.999228e-01 7.722909e-05 3.907616e-27 7.127276e-80 1.762079e-155 0.000000e+00
2.245e+04 9.981484e-01 1.851558e-03 7.876014e-23 7.015474e-70 7.591513e-138 0.000000e+00
2.325e+04 9.999925e-01 7.457738e-06 8.289469e-31 3.793789e-89 1.965351e-172 0.000000e+00
2.405e+04 9.999729e-01 2.705456e-05 4.526014e-29 3.985411e-85 2.402924e-165 0.000000e+00
2.487e+04 9.998910e-01 1.089631e-04 3.159062e-27 6.576013e-81 5.935771e-158 0.000000e+00
2.570e+04 9.999490e-01 5.104110e-05 1.882398e-28 4.829390e-84 1.033065e-163 0.000000e+00
2.659e+04 9.999933e-01 6.686922e-06 1.541261e-31 1.062154e-91 1.299594e-177 0.000000e+00
2.764e+04 1.000000e+00 6.919629e-11 1.235891e-49 1.818257e-137 2.467262e-261 0.000000e+00
2.899e+04 1.000000e+00 1.385555e-09 3.813346e-45 2.075901e-126 2.545530e-241 0.000000e+00
3.065e+04 1.000000e+00 7.617898e-11 2.430882e-50 2.455383e-140 2.288871e-267 0.000000e+00
3.252e+04 1.000000e+00 3.478130e-14 1.567273e-62 2.981603e-171 4.940656e-324 0.000000e+00
3.446e+04 1.000000e+00 1.014908e-17 6.057281e-75 4.045753e-202 0.000000e+00 0.000000e+00
3.637e+04 1.000000e+00 4.416765e-19 5.492992e-80 5.313629e-215 0.000000e+00 0.000000e+00
3.815e+04 1.000000e+00 1.865605e-17 2.196182e-74 3.282791e-201 0.000000e+00 0.000000e+00
3.975e+04 1.000000e+00 1.820050e-13 4.066218e-61 3.481864e-169 2.722302e-321 0.000000e+00
4.117e+04 1.000000e+00 3.730876e-20 3.198301e-84 3.853701e-226 0.000000e+00 0.000000e+00
4.247e+04 1.000000e+00 4.250135e-23 6.780010e-95 3.999629e-253 0.000000e+00 0.000000e+00
4.369e+04 1.000000e+00 6.853399e-22 1.007035e-90 7.709202e-243 0.000000e+00 0.000000e+00
4.488e+04 1.000000e+00 3.233898e-12 8.303703e-58 2.320332e-162 6.289440e-310 0.000000e+00
