#NTIMES: 265
#NSTAGES: 5
#TIMES[d]: 1.0736 1.18096 1.299056 1.428962 1.571858 1.729044 1.901948 2.092143 2.301357 2.531493 2.784642 3.063106 3.369417 3.706359 4.076994 4.484694 4.933163 5.426479 5.969127 6.56604 7.222644 7.944908 8.739399 9.613339 10.574673 11.574673 12.574673 13.574673 14.574673 15.574673 16.574673 17.574673 18.574673 19.574673 20.574673 21.574673 22.574673 23.574673 24.574673 25.574673 26.574673 27.574673 28.574673 29.574673 30.574673 31.574673 32.574673 33.574673 34.574673 35.574673 36.574673 37.574673 38.574673 39.574673 40.574673 41.574673 42.574673 43.574673 44.574673 45.574673 46.574673 47.574673 48.57467 49.57467 50.57467 51.57467 52.57467 53.57467 54.57467 55.57467 56.57467 57.57467 58.57467 59.57467 60.57467 61.57467 62.57467 63.57467 64.57467 65.57467 66.57467 67.57467 68.57467 69.57467 70.57467 71.57467 72.57467 73.57467 74.57467 75.57467 76.57467 77.57467 78.57467 79.57467 80.57467 81.57467 82.57467 83.57467 84.57467 85.57467 86.57467 87.57467 88.57467 89.57467 90.57467 91.57467 92.57467 93.57467 94.57467 95.57467 96.57467 97.574676 98.574676 99.574676 100.574676 101.574676 102.574676 103.574676 104.574676 105.574676 106.574676 107.574676 108.574676 109.574676 110.574676 111.574676 112.574676 113.574676 114.574676 115.574676 116.574676 117.574676 118.574676 119.574676 120.574676 121.574676 122.574676 123.574676 124.574676 125.574676 126.574676 127.574676 128.574676 129.574676 130.574676 131.574676 132.574676 133.574676 134.574676 135.574676 136.574676 137.574676 138.574676 139.574676 140.574676 141.574676 142.574676 143.574676 144.574676 145.574676 146.574676 147.574676 148.574676 149.574676 150.574676 151.574676 152.574676 153.574676 154.574676 155.574676 156.574676 157.574676 158.574676 159.574676 160.574676 161.574676 162.574676 163.574676 164.574676 165.574676 166.574676 167.574676 168.574676 169.574676 170.574676 171.574676 172.574676 173.574676 174.574676 175.574676 176.574676 177.574676 178.574676 179.574676 180.574676 181.574676 182.574676 183.574676 184.574676 185.574676 186.574676 187.574676 188.574676 189.574676 190.574676 191.574676 192.574676 193.574676 194.574676 195.574676 196.574676 197.574676 198.574676 199.574676 200.574676 201.574676 202.574676 203.574676 204.574676 205.574676 206.574676 207.574676 208.574676 209.574676 210.574676 211.574676 212.574676 213.574676 214.574676 215.574676 216.574676 217.574676 218.574676 219.574676 220.574676 221.574676 222.574676 223.574676 224.574676 225.574676 226.574676 227.574676 228.574676 229.574676 230.574676 231.574676 232.574676 233.574676 234.574676 235.574676 236.574676 237.574676 238.574676 239.574676 240.574676 241.574676 242.574676 243.574676 244.574676 245.574676 246.574676 247.574676 248.574676 249.574676 250.574676
#
#TIME: 1.073600
#NVEL: 114
#vel_mid[km/s] Ni0 Ni1 Ni2 Ni3 Ni4
1.565e+04 5.100752e-12 2.628459e-05 6.417251e-01 3.582486e-01 7.464150e-09
1.596e+04 1.820002e-10 3.604924e-04 9.909760e-01 8.663461e-03 3.688514e-13
1.619e+04 6.753750e-09 4.461505e-03 9.954664e-01 7.212116e-05 2.308437e-18
1.635e+04 3.186871e-07 6.583472e-02 9.341646e-01 3.122708e-07 2.772962e-24
1.648e+04 9.486106e-06 5.818188e-01 4.181717e-01 3.601699e-10 3.210429e-31
1.659e+04 4.490772e-05 9.545632e-01 4.539192e-02 1.520084e-13 2.308637e-38
1.669e+04 1.015644e-04 9.941773e-01 5.721097e-03 2.311800e-16 3.257147e-44
1.679e+04 1.635861e-04 9.985226e-01 1.313860e-03 2.139396e-18 1.742607e-48
1.689e+04 2.256482e-04 9.993311e-01 4.432278e-04 6.449861e-20 1.058446e-51
1.700e+04 2.963371e-04 9.995292e-01 1.744577e-04 3.184548e-21 1.811854e-54
1.715e+04 3.925552e-04 9.995385e-01 6.891393e-05 1.619788e-22 3.355437e-57
1.742e+04 6.082119e-04 9.993740e-01 1.780297e-05 2.221260e-24 4.090571e-61
1.789e+04 1.463076e-03 9.985354e-01 1.536342e-06 1.102637e-27 5.435982e-68
1.853e+04 4.167492e-03 9.958324e-01 1.008549e-07 2.696330e-31 1.897422e-75
1.926e+04 1.061940e-02 9.893806e-01 8.100664e-09 1.185762e-34 2.130293e-82
2.003e+04 2.457268e-02 9.754273e-01 7.499792e-10 7.832604e-38 5.304494e-89
2.084e+04 5.235107e-02 9.476489e-01 8.187496e-11 8.906766e-41 4.146726e-95
2.165e+04 1.040768e-01 8.959232e-01 1.022182e-11 1.678868e-43 9.866248e-101
2.245e+04 1.804948e-01 8.195052e-01 1.423117e-12 4.366307e-46 4.334694e-106
2.325e+04 2.778399e-01 7.221601e-01 2.192157e-13 1.595083e-48 3.801258e-111
2.405e+04 3.852551e-01 6.147449e-01 3.873971e-14 9.463504e-51 9.358084e-116
2.487e+04 4.823430e-01 5.176570e-01 8.561015e-15 1.131955e-52 9.887598e-120
2.570e+04 5.548875e-01 4.451125e-01 2.410861e-15 2.620449e-54 3.844550e-123
2.659e+04 6.088042e-01 3.911958e-01 7.316073e-16 6.716741e-56 1.649883e-126
2.764e+04 6.810254e-01 3.189746e-01 1.309047e-16 3.547902e-58 2.562026e-131
2.899e+04 7.831946e-01 2.168054e-01 7.836339e-18 7.815126e-62 5.375884e-139
3.065e+04 6.894433e-01 3.105567e-01 6.602685e-18 7.113141e-63 7.510267e-142
3.252e+04 4.124565e-01 5.875435e-01 2.019277e-17 1.150960e-62 1.776369e-142
3.446e+04 1.258223e-01 8.741777e-01 1.406271e-16 3.503636e-61 2.184420e-140
3.637e+04 4.183239e-02 9.581676e-01 7.500415e-16 1.738130e-59 2.125825e-137
3.815e+04 1.759382e-02 9.824062e-01 3.310003e-15 8.506046e-58 3.430795e-134
3.975e+04 1.197650e-02 9.880235e-01 5.684950e-15 3.175551e-57 3.675519e-133
4.117e+04 1.188182e-02 9.881182e-01 3.698845e-15 6.483070e-58 1.016820e-134
4.247e+04 1.739149e-02 9.826085e-01 8.273478e-16 5.183746e-60 3.493539e-139
4.369e+04 3.804374e-02 9.619563e-01 7.015832e-17 2.483922e-63 4.071868e-146
4.488e+04 1.037335e-01 8.962665e-01 3.170510e-18 2.129249e-67 1.577642e-154
4.608e+04 2.410609e-01 7.589391e-01 1.495848e-19 2.484507e-71 1.253372e-162
4.729e+04 2.403887e-01 7.596113e-01 9.287748e-20 4.310218e-72 2.420745e-164
4.852e+04 2.037670e-01 7.962330e-01 1.003632e-19 3.551501e-72 1.074016e-164
4.975e+04 1.663945e-01 8.336055e-01 1.182227e-19 3.790988e-72 8.093239e-165
5.101e+04 1.311671e-01 8.688329e-01 1.490009e-19 4.982918e-72 9.352883e-165
5.229e+04 1.012419e-01 8.987581e-01 1.919994e-19 7.085211e-72 1.275937e-164
5.360e+04 7.734303e-02 9.226570e-01 2.465842e-19 1.011106e-71 1.764586e-164
5.492e+04 5.855057e-02 9.414494e-01 3.168142e-19 1.461250e-71 2.518420e-164
5.627e+04 4.407681e-02 9.559232e-01 4.060031e-19 2.117098e-71 3.633082e-164
5.762e+04 3.311894e-02 9.668811e-01 5.181283e-19 3.061952e-71 5.261416e-164
5.899e+04 2.493670e-02 9.750633e-01 6.558282e-19 4.368247e-71 7.472044e-164
6.034e+04 1.885510e-02 9.811449e-01 8.259174e-19 6.218928e-71 1.069365e-163
6.168e+04 1.439473e-02 9.856053e-01 1.026520e-18 8.635894e-71 1.474899e-163
6.297e+04 1.112138e-02 9.888786e-01 1.262158e-18 1.182062e-70 2.011597e-163
6.422e+04 8.723278e-03 9.912767e-01 1.531392e-18 1.586400e-70 2.691354e-163
6.539e+04 6.975216e-03 9.930248e-01 1.826870e-18 2.071984e-70 3.492804e-163
6.646e+04 5.710557e-03 9.942894e-01 2.134277e-18 2.612464e-70 4.343859e-163
6.742e+04 4.785689e-03 9.952143e-01 2.447766e-18 3.204971e-70 5.265584e-163
6.826e+04 4.121983e-03 9.958780e-01 2.745345e-18 3.796276e-70 6.150060e-163
6.896e+04 3.634486e-03 9.963655e-01 3.029426e-18 4.408102e-70 7.117695e-163
6.948e+04 3.295127e-03 9.967049e-01 3.262371e-18 4.906055e-70 7.810574e-163
6.976e+04 3.172687e-03 9.968273e-01 3.350778e-18 5.078321e-70 7.972651e-163
6.989e+04 3.113221e-03 9.968868e-01 3.395817e-18 5.166523e-70 8.054473e-163
6.995e+04 3.090489e-03 9.969095e-01 3.401541e-18 5.135197e-70 7.857761e-163
6.998e+04 3.081312e-03 9.969187e-01 3.398814e-18 5.094794e-70 7.684855e-163
7.000e+04 3.081568e-03 9.969184e-01 3.385658e-18 5.023746e-70 7.446829e-163
#TIME: 1.180960
#NVEL: 114
#vel_mid[km/s] Ni0 Ni1 Ni2 Ni3 Ni4
4.401e+02 3.147083e-25 2.370771e-17 3.822226e-10 8.063539e-04 9.991936e-01
8.862e+02 1.039254e-24 6.444675e-17 8.134912e-10 1.247322e-03 9.987527e-01
9.061e+02 9.031949e-25 5.729638e-17 7.441084e-10 1.184348e-03 9.988157e-01
9.444e+02 6.727137e-25 4.476546e-17 6.173151e-10 1.062794e-03 9.989372e-01
9.991e+02 4.453916e-25 3.169849e-17 4.756837e-10 9.143413e-04 9.990857e-01
1.061e+03 4.328222e-25 3.094779e-17 4.671595e-10 9.048654e-04 9.990951e-01
1.126e+03 4.187230e-25 3.009699e-17 4.573869e-10 8.938565e-04 9.991061e-01
1.194e+03 3.419811e-25 2.538734e-17 4.021114e-10 8.297891e-04 9.991702e-01
1.267e+03 1.873505e-25 1.532208e-17 2.747791e-10 6.669541e-04 9.993330e-01
1.345e+03 6.383634e-26 6.204897e-18 1.393444e-10 4.536611e-04 9.995463e-01
1.427e+03 1.522298e-26 1.867121e-18 5.697889e-11 2.761563e-04 9.997238e-01
1.514e+03 6.223095e-27 8.883710e-19 3.302058e-11 2.056764e-04 9.997943e-01
1.607e+03 2.430021e-27 4.109232e-19 1.889864e-11 1.531971e-04 9.998468e-01
1.705e+03 7.338808e-28 1.533930e-19 9.267638e-12 1.058370e-04 9.998942e-01
1.809e+03 2.852527e-28 7.047707e-20 5.293894e-12 7.963000e-05 9.999204e-01
1.919e+03 1.056702e-28 3.124573e-20 2.959716e-12 5.961178e-05 9.999404e-01
2.037e+03 3.577074e-29 1.288867e-20 1.576516e-12 4.384532e-05 9.999562e-01
2.161e+03 1.214578e-29 5.361402e-21 8.489676e-13 3.259995e-05 9.999674e-01
2.293e+03 3.674666e-30 2.050665e-21 4.336341e-13 2.372436e-05 9.999763e-01
2.433e+03 1.098263e-30 7.787086e-22 2.209902e-13 1.732527e-05 9.999827e-01
2.582e+03 4.711994e-31 3.956996e-22 1.381486e-13 1.395050e-05 9.999860e-01
2.739e+03 2.690875e-31 2.531028e-22 1.014071e-13 1.210472e-05 9.999879e-01
2.907e+03 1.889371e-31 1.921208e-22 8.401672e-14 1.107561e-05 9.999889e-01
3.084e+03 1.576741e-31 1.693856e-22 7.756295e-14 1.059025e-05 9.999894e-01
3.273e+03 1.564808e-31 1.732532e-22 7.968630e-14 1.059104e-05 9.999894e-01
3.472e+03 1.749569e-31 1.959261e-22 8.798916e-14 1.094196e-05 9.999891e-01
3.685e+03 2.280120e-31 2.527988e-22 1.069855e-13 1.181693e-05 9.999882e-01
3.910e+03 2.262847e-31 2.644888e-22 1.129673e-13 1.195832e-05 9.999880e-01
4.148e+03 2.154014e-31 2.611288e-22 1.133497e-13 1.190580e-05 9.999881e-01
4.402e+03 2.338071e-31 2.779484e-22 1.182207e-13 1.215627e-05 9.999878e-01
4.671e+03 1.883083e-31 2.346052e-22 1.052092e-13 1.148767e-05 9.999885e-01
4.956e+03 9.768406e-32 1.425526e-22 7.525583e-14 9.730062e-06 9.999903e-01
5.259e+03 5.242595e-32 8.939315e-23 5.513719e-14 8.328348e-06 9.999917e-01
5.580e+03 4.092569e-32 7.500082e-23 4.929539e-14 7.855147e-06 9.999921e-01
5.921e+03 3.520854e-32 6.799399e-23 4.651725e-14 7.604807e-06 9.999924e-01
6.282e+03 3.260062e-32 6.550572e-23 4.584784e-14 7.518123e-06 9.999925e-01
6.666e+03 3.810399e-32 7.582686e-23 5.131820e-14 7.913470e-06 9.999921e-01
7.074e+03 5.056883e-32 9.756117e-23 6.200571e-14 8.653733e-06 9.999913e-01
7.506e+03 6.136256e-32 1.182753e-22 7.236504e-14 9.315663e-06 9.999907e-01
7.964e+03 8.584633e-32 1.608998e-22 9.174326e-14 1.048292e-05 9.999895e-01
8.451e+03 1.834303e-31 3.066672e-22 1.475986e-13 1.336547e-05 9.999866e-01
8.967e+03 5.333599e-31 7.584782e-22 2.887943e-13 1.903422e-05 9.999810e-01
9.514e+03 2.501035e-30 2.815896e-21 7.706014e-13 3.256153e-05 9.999674e-01
1.010e+04 2.692677e-29 2.096689e-20 3.504755e-12 7.699125e-05 9.999230e-01
1.071e+04 8.250870e-28 3.867408e-19 3.340329e-11 2.940036e-04 9.997060e-01
1.137e+04 8.184927e-26 2.065436e-17 8.144422e-10 2.102826e-03 9.978972e-01
1.206e+04 1.839156e-23 2.480507e-15 4.423663e-08 2.527001e-02 9.747299e-01
1.279e+04 6.534616e-21 4.729804e-13 3.614398e-06 3.334058e-01 6.665906e-01
1.353e+04 8.648201e-19 3.411419e-11 9.578781e-05 9.444148e-01 5.548942e-02
1.419e+04 9.612287e-17 2.247643e-09 1.801649e-03 9.975555e-01 6.428499e-04
1.476e+04 2.749182e-14 3.729124e-07 5.904778e-02 9.409493e-01 2.523730e-06
1.524e+04 4.109750e-12 2.892404e-05 7.304964e-01 2.694747e-01 2.343325e-09
1.565e+04 1.051064e-10 3.157469e-04 9.933606e-01 6.323627e-03 1.222959e-13
1.596e+04 5.036354e-09 4.232314e-03 9.957117e-01 5.601145e-05 1.005502e-18
1.619e+04 1.082718e-07 3.483568e-02 9.651633e-01 9.175686e-07 3.477776e-23
1.635e+04 1.206591e-06 1.790716e-01 8.209271e-01 2.325305e-08 4.095737e-27
1.648e+04 1.294981e-05 7.179673e-01 2.820197e-01 5.631143e-11 4.532605e-33
1.659e+04 4.363220e-05 9.648154e-01 3.514102e-02 5.320856e-14 2.035446e-39
1.669e+04 7.896023e-05 9.924513e-01 7.469737e-03 4.075588e-16 8.033999e-44
1.679e+04 1.330620e-04 9.982935e-01 1.573480e-03 2.935332e-18 2.605699e-48
1.689e+04 1.975526e-04 9.993723e-01 4.301091e-04 4.578986e-20 4.002147e-52
1.700e+04 2.864679e-04 9.995845e-01 1.290574e-04 9.751211e-22 1.194085e-55
1.715e+04 5.738440e-04 9.994072e-01 1.895781e-05 2.538874e-24 5.063943e-61
1.742e+04 2.413089e-03 9.975864e-01 5.604155e-07 6.145508e-29 1.722830e-70
1.789e+04 9.746192e-03 9.902538e-01 1.534020e-08 1.089248e-33 2.775261e-80
1.853e+04 1.593264e-02 9.840674e-01 3.412766e-09 9.851228e-36 1.459721e-84
1.926e+04 2.882963e-02 9.711704e-01 5.813160e-10 4.081654e-38 1.571807e-89
2.003e+04 1.407706e-01 8.592294e-01 6.736660e-12 7.211424e-44 2.599690e-101
2.084e+04 1.864904e-01 8.135096e-01 1.884355e-12 1.341024e-45 5.821746e-105
2.165e+04 4.117722e-01 5.882278e-01 6.328011e-14 7.803111e-50 1.351786e-113
2.245e+04 6.681462e-02 9.331854e-01 1.535295e-11 2.979190e-43 1.646456e-100
2.325e+04 7.351965e-01 2.648035e-01 3.808270e-16 4.562510e-56 2.686050e-126
2.405e+04 5.234532e-01 4.765468e-01 5.234097e-15 3.049780e-53 7.328864e-121
2.487e+04 2.830817e-01 7.169183e-01 6.798763e-14 2.285734e-50 2.807506e-115
2.570e+04 3.772124e-01 6.227876e-01 1.399988e-14 2.044621e-52 1.554342e-119
2.659e+04 6.809070e-01 3.190930e-01 1.911048e-16 1.419735e-57 5.802505e-130
2.764e+04 9.994217e-01 5.783125e-04 1.899079e-28 2.172216e-89 9.391600e-194
2.899e+04 9.962062e-01 3.793835e-03 2.463867e-25 1.562052e-81 2.501563e-178
3.065e+04 9.989857e-01 1.014267e-03 1.405028e-28 6.406797e-91 7.246368e-198
3.252e+04 9.999880e-01 1.201134e-05 9.389298e-37 1.724506e-112 4.354984e-241
3.446e+04 9.999999e-01 8.255724e-08 2.845369e-45 2.711281e-134 3.462302e-284
3.637e+04 1.000000e+00 1.417269e-08 1.267437e-48 3.072531e-143 3.309278e-302
3.815e+04 9.999999e-01 1.490342e-07 9.799829e-45 1.952067e-133 5.791955e-283
3.975e+04 9.999363e-01 6.372657e-05 2.533560e-35 2.206713e-110 2.437426e-238
4.117e+04 1.000000e+00 4.119350e-09 2.458937e-51 7.787837e-151 8.071160e-318
4.247e+04 1.000000e+00 7.980447e-11 1.615664e-58 1.074102e-169 0.000000e+00
4.369e+04 1.000000e+00 4.548042e-10 1.255162e-55 2.160201e-162 0.000000e+00
4.488e+04 9.992992e-01 7.007655e-04 1.326351e-32 6.193040e-105 6.020397e-229
4.608e+04 1.000000e+00 2.640617e-08 7.795934e-49 3.574097e-145 2.664290e-307
4.729e+04 1.000000e+00 3.413155e-13 5.481545e-69 9.724747e-198 0.000000e+00
4.852e+04 1.000000e+00 1.686349e-14 1.229104e-74 9.453822e-213 0.000000e+00
4.975e+04 1.000000e+00 4.343822e-14 6.356865e-73 2.925141e-208 0.000000e+00
5.101e+04 9.999453e-01 5.472715e-05 1.818195e-37 6.259625e-118 3.916696e-255
5.229e+04 1.000000e+00 1.602020e-09 1.225812e-54 3.938145e-161 0.000000e+00
5.360e+04 1.000000e+00 1.572115e-13 2.878016e-71 1.286965e-204 0.000000e+00
5.492e+04 1.000000e+00 2.762573e-11 3.483073e-62 4.191719e-181 0.000000e+00
5.627e+04 1.000000e+00 1.498728e-09 2.947751e-55 2.878650e-163 0.000000e+00
5.762e+04 1.000000e+00 9.192624e-09 3.169426e-52 1.382649e-155 0.000000e+00
5.899e+04 1.000000e+00 2.429648e-08 1.074196e-50 8.171296e-152 3.853712e-322
6.034e+04 9.999707e-01 2.928358e-05 9.419233e-40 4.143124e-125 1.551107e-270
6.168e+04 9.999645e-01 3.549220e-05 1.187177e-39 4.215920e-125 9.509438e-271
6.297e+04 9.999996e-01 3.736050e-07 1.293575e-46 5.100825e-142 2.284734e-303
6.422e+04 9.999759e-01 2.410410e-05 1.511555e-40 1.199469e-127 5.166449e-276
6.539e+04 1.000000e+00 9.780503e-13 1.818854e-69 1.858218e-201 0.000000e+00
6.646e+04 1.000000e+00 7.331358e-15 1.197067e-76 1.532484e-218 0.000000e+00
6.742e+04 1.000000e+00 1.509426e-17 1.590917e-85 2.121481e-239 0.000000e+00
6.826e+04 1.000000e+00 1.836939e-17 2.356207e-85 3.823738e-239 0.000000e+00
6.896e+04 1.000000e+00 1.841438e-17 2.367764e-85 3.851905e-239 0.000000e+00
6.948e+04 1.000000e+00 1.844560e-17 2.375798e-85 3.871528e-239 0.000000e+00
6.976e+04 1.000000e+00 1.845705e-17 2.378749e-85 3.878743e-239 0.000000e+00
6.989e+04 1.000000e+00 1.846258e-17 2.380174e-85 3.882227e-239 0.000000e+00
6.995e+04 1.000000e+00 1.846529e-17 2.380873e-85 3.883938e-239 0.000000e+00
6.998e+04 1.000000e+00 1.846663e-17 2.381220e-85 3.884787e-239 0.000000e+00
7.000e+04 1.000000e+00 1.846727e-17 2.381383e-85 3.885187e-239 0.000000e+00
#TIME: 1.299056
#NVEL: 114
#vel_mid[km/s] Ni0 Ni1 Ni2 Ni3 Ni4
4.401e+02 4.298675e-25 3.401729e-17 5.422048e-10 1.032494e-03 9.989675e-01
8.862e+02 5.716667e-25 4.320893e-17 6.503766e-10 1.148252e-03 9.988517e-01
9.061e+02 1.103130e-24 7.504866e-17 9.910916e-10 1.470306e-03 9.985297e-01
9.444e+02 6.196932e-25 4.623581e-17 6.847896e-10 1.183429e-03 9.988166e-01
9.991e+02 6.171850e-25 4.607867e-17 6.830161e-10 1.181634e-03 9.988184e-01
1.061e+03 8.844299e-25 6.233030e-17 8.599691e-10 1.352567e-03 9.986474e-01
1.126e+03 4.717382e-25 3.676846e-17 5.751330e-10 1.068539e-03 9.989315e-01
